level,drug,scenario,prevalence_pct,expected_pct_change,expected_pct_change_attenuated,se_type,mde_pct,mde_to_expected,mde_to_expected_attenuated,positive_control_elasticity
utla,tnf_inhibitor,RR 4 (unscreened),0.3352990092186908,0.0995879505313102,0.035999855068043395,clustered by area,2.532895046094552,25.129487446639732,69.51678410879656,0.36148806031232794
utla,tnf_inhibitor,RR 4 (unscreened),0.3352990092186908,0.0995879505313102,0.035999855068043395,clustered by principal trust,2.7428958280566684,27.1850121140841,75.20307058162882,0.36148806031232794
utla,tnf_inhibitor,"RR 1.7 (with LTBI screening, ~78% reduction)",0.3352990092186908,0.02208087022861349,0.00798197094894972,clustered by area,2.532895046094552,113.29376795628585,313.4094328271848,0.36148806031232794
utla,tnf_inhibitor,"RR 1.7 (with LTBI screening, ~78% reduction)",0.3352990092186908,0.02208087022861349,0.00798197094894972,clustered by principal trust,2.7428958280566684,122.56089428332932,339.0454837635189,0.36148806031232794
utla,il6_abatacept,RR 2,0.022683402946589944,0.0022678258745578717,0.0008197919765200337,clustered by area,1.1566318651988317,507.0967159623521,1402.803499302902,0.36148806031232794
utla,il6_abatacept,RR 2,0.022683402946589944,0.0022678258745578717,0.0008197919765200337,clustered by principal trust,1.0858814335527267,476.2448190207926,1317.456567194264,0.36148806031232794
utla,jak_inhibitor_rheum,RR 2,0.04447778316350637,0.004445800922669996,0.0016071039520707347,clustered by area,1.0221541194114447,228.75249597173558,632.8078879675638,0.36148806031232794
utla,jak_inhibitor_rheum,RR 2,0.04447778316350637,0.004445800922669996,0.0016071039520707347,clustered by principal trust,1.1766929673179272,263.13588789298433,727.9241468324936,0.36148806031232794
utla,rituximab,RR 1.5,0.09224841974315058,0.004610294525231318,0.0016665664253944139,clustered by area,1.9382115226510566,416.39675645778544,1151.896292502762,0.36148806031232794
utla,rituximab,RR 1.5,0.09224841974315058,0.004610294525231318,0.0016665664253944139,clustered by principal trust,1.6203497540120182,348.6543513574421,964.4975578341441,0.36148806031232794
utla,transplant_cni_mtor,RR 10 (solid organ transplant),0.07438792406860134,0.066503893867087,0.024040363597230198,clustered by area,1.7184381649349767,25.628672505425477,70.89770124988954,0.36148806031232794
utla,transplant_cni_mtor,RR 10 (solid organ transplant),0.07438792406860134,0.066503893867087,0.024040363597230198,clustered by principal trust,1.7268718638813185,25.753381478900003,71.2426890576937,0.36148806031232794
utla,antiproliferative,RR 2,0.16093160679578744,0.01606730331020767,0.005808138308056817,clustered by area,2.627267103829567,161.418226410213,446.5381962290723,0.36148806031232794
utla,antiproliferative,RR 2,0.16093160679578744,0.01606730331020767,0.005808138308056817,clustered by principal trust,2.534998780625175,155.81965706982578,431.05063258575296,0.36148806031232794
utla,systemic_glucocorticoid,RR 4.9,0.46094563646603753,0.17659418576692065,0.06383668967531905,clustered by area,4.051125262787014,22.50766957363768,62.26393633635068,0.36148806031232794
utla,systemic_glucocorticoid,RR 4.9,0.46094563646603753,0.17659418576692065,0.06383668967531905,clustered by principal trust,4.688632270809423,25.969596697673303,71.84081453543835,0.36148806031232794
