level,drug,scenario,prevalence_pct,expected_pct_change,expected_pct_change_attenuated,se_type,mde_pct,mde_to_expected,mde_to_expected_attenuated,positive_control_elasticity
ltla,tnf_inhibitor,"RR 4 (illustrative, before LTBI screening)",0.33529900921869055,0.0995879505313102,0.03985231496353038,clustered by area,2.3261482182360904,23.101696285398965,57.72940891802734,0.4001720564678245
ltla,tnf_inhibitor,"RR 4 (illustrative, before LTBI screening)",0.33529900921869055,0.0995879505313102,0.03985231496353038,clustered by principal trust,2.3251696430591107,23.09208859470872,57.70540001851783,0.4001720564678245
ltla,tnf_inhibitor,"RR 1.5 (illustrative, with LTBI screening; probably nearer 1, so favours detection)",0.33529900921869055,0.01673689114582988,0.006697636148704867,clustered by area,2.3261482182360904,137.40294831147222,343.35967764535803,0.4001720564678245
ltla,tnf_inhibitor,"RR 1.5 (illustrative, with LTBI screening; probably nearer 1, so favours detection)",0.33529900921869055,0.01673689114582988,0.006697636148704867,clustered by principal trust,2.3251696430591107,137.34580423811084,343.2168788855802,0.4001720564678245
ltla,il6_abatacept,RR 2,0.022683402946589933,0.0022678258745578717,0.0009075205439327661,clustered by area,1.1913760435117826,522.2395907198375,1305.0376263886571,0.4001720564678245
ltla,il6_abatacept,RR 2,0.022683402946589933,0.0022678258745578717,0.0009075205439327661,clustered by principal trust,1.1655896411319366,511.0013633835585,1276.9541379125383,0.4001720564678245
ltla,jak_inhibitor_rheum,RR 2,0.04447778316350633,0.004445800922669996,0.0017790852978714039,clustered by area,0.9728793876472963,217.77828705330387,544.211629806326,0.4001720564678245
ltla,jak_inhibitor_rheum,RR 2,0.04447778316350633,0.004445800922669996,0.0017790852978714039,clustered by principal trust,1.0324714142920133,231.04963184773825,577.3757265490516,0.4001720564678245
ltla,rituximab,RR 1.5,0.09224841974315053,0.004610294525231318,0.001844911041084169,clustered by area,2.1892633140597084,469.7515466228202,1173.8739350497106,0.4001720564678245
ltla,rituximab,RR 1.5,0.09224841974315053,0.004610294525231318,0.001844911041084169,clustered by principal trust,1.8721274069571914,402.330380441251,1005.3934899714818,0.4001720564678245
ltla,transplant_cni_mtor,RR 10 (solid organ transplant),0.07378476873116967,0.06596822136193392,0.02639863880392977,clustered by area,1.6347278684671895,24.588275938970295,61.444260141505644,0.4001720564678245
ltla,transplant_cni_mtor,RR 10 (solid organ transplant),0.07378476873116967,0.06596822136193392,0.02639863880392977,clustered by principal trust,1.4429945835075841,21.72493021959872,54.28897362638686,0.4001720564678245
ltla,antiproliferative,RR 2,0.16093160679578733,0.01606730331020767,0.006429685807538087,clustered by area,2.2406132918403765,137.92347638896456,344.6604383283674,0.4001720564678245
ltla,antiproliferative,RR 2,0.16093160679578733,0.01606730331020767,0.006429685807538087,clustered by principal trust,2.5612787405504545,157.41476037106656,393.3676972862881,0.4001720564678245
