level,drug,estimate_lag1,ci_low,ci_high,mde_pct,scenario,expected_pct,mde_to_expected,rr_needed
utla,antituberculosis,0.9991809485489828,0.989159327776971,1.0093041028960996,1.451340539597168,,,,
utla,anti_tnf,0.992654150345196,0.9826034655427214,1.0028076398583612,1.4652913332329431,"RR 4, prevalence 0.2%",0.05964214711728921,24.397066384242414,86.84307856567958
utla,anti_tnf,0.992654150345196,0.9826034655427214,1.0028076398583612,1.4652913332329431,"RR 15, prevalence 0.2%",0.27237354085603016,5.347949077051521,86.84307856567958
utla,other_biologic,0.994307984962052,0.9823402734150058,1.0064214974332275,1.7459700817746393,"RR 2, prevalence 0.2%",0.019960079840308786,86.726901914381,106.76470518476299
utla,jak_inhibitor,0.9951578232169714,0.988875703270358,1.0014798521540609,0.9093090424737937,"RR 4, prevalence 0.05%",0.014977533699433998,60.441693856054655,201.0527895453257
utla,systemic_corticosteroid,1.0033173701089253,0.9890386728153596,1.01780220817535,2.0700053981798305,"RR 4.9, prevalence 0.9%",0.33909767172255467,6.05236774276549,30.003878482460347
utla,calcineurin_antiproliferative,1.0026946427338663,0.9930465519527454,1.012436470969226,1.3916526212487623,"RR 3, prevalence 0.3%",0.05964214711728921,23.179416226701807,54.88771928836975
ltla,antituberculosis,0.9968564192354123,0.9872894450208218,1.006516098781843,1.3879915213732996,,,,
ltla,anti_tnf,0.9914497841480906,0.9814832183258622,1.0015175564223848,1.4546630874893163,"RR 4, prevalence 0.2%",0.05964214711728921,24.221378004797863,86.11443740501531
ltla,anti_tnf,0.9914497841480906,0.9814832183258622,1.0015175564223848,1.4546630874893163,"RR 15, prevalence 0.2%",0.27237354085603016,5.309437376837185,86.11443740501531
ltla,other_biologic,0.993360696288076,0.9814393716293912,1.005426826612527,1.7407857900994195,"RR 2, prevalence 0.2%",0.019960079840308786,86.47159396328806,106.38446793235383
ltla,jak_inhibitor,0.994920260431724,0.988522931281426,1.0013589905641966,0.9263390593248655,"RR 4, prevalence 0.05%",0.014977533699433998,61.56847460046342,205.1819868256923
ltla,systemic_corticosteroid,0.999170909892688,0.9864032985663416,1.0121037800935917,1.855295881577268,"RR 4.9, prevalence 0.9%",0.33909767172255467,5.430324133229503,26.31018731246917
ltla,calcineurin_antiproliferative,1.0009649670353256,0.9906334219231856,1.0114042622213495,1.4940925846095965,"RR 3, prevalence 0.3%",0.05964214711728921,24.873068003166978,59.551173580305544
