new_group,year,direct,successor,unmatched
antiproliferative,2019,0.9087165682448239,0.08398583680176444,0.0072975949534115625
antiproliferative,2020,0.9378645263906867,0.04836271202964872,0.013772761579664566
antiproliferative,2021,0.9639661921317424,0.024029401052530885,0.012004406815726731
antiproliferative,2022,0.976931509175256,0.007351610358823523,0.01571688046592045
antiproliferative,2023,0.9759255462970126,0.004601227763535636,0.019473225939451774
antiproliferative,2024,0.9770976799732616,0.0038786263838132976,0.01902369364292514
antituberculosis_active,2019,0.9129388807709284,0.0825862340689116,0.004474885160160013
antituberculosis_active,2020,0.9455441721073301,0.05126200162286543,0.0031938262698044074
antituberculosis_active,2021,0.9739946271526365,0.0249843799430216,0.0010209929043418608
antituberculosis_active,2022,0.9849616135002192,0.014187752325652832,0.00085063417412793
antituberculosis_active,2023,0.989283239872743,0.009751991927516334,0.0009647681997405991
antituberculosis_active,2024,0.9831367683595352,0.00949895555613792,0.007364276084326824
antituberculosis_mdr,2019,0.918111674027988,0.0818883259720121,
antituberculosis_mdr,2020,0.9759944480392608,0.024005551960739186,
antituberculosis_mdr,2021,0.9470265508119214,0.052973449188078454,
antituberculosis_mdr,2022,1.0,,
antituberculosis_mdr,2023,0.9992779249005793,,0.0007220750994207152
antituberculosis_mdr,2024,1.0,,
antituberculosis_rifamycin_isoniazid,2019,0.9063952421988161,0.09025036273963774,0.0033543950615462993
antituberculosis_rifamycin_isoniazid,2020,0.9511162382090539,0.045722526074904075,0.0031612357160419216
antituberculosis_rifamycin_isoniazid,2021,0.9771362806004191,0.021121895667194274,0.0017418237323866053
antituberculosis_rifamycin_isoniazid,2022,0.9897961217766286,0.008185232043887396,0.002018646179484121
antituberculosis_rifamycin_isoniazid,2023,0.9904156214380393,0.008027835097722359,0.0015565434642384006
antituberculosis_rifamycin_isoniazid,2024,0.9924304845202981,0.006188469759106716,0.0013810457205952237
il6_abatacept,2019,0.9006629315026037,0.08708571887028393,0.012251349627112317
il6_abatacept,2020,0.9393556962812117,0.04855660670705455,0.012087697011733768
il6_abatacept,2021,0.9632260721344299,0.02811197391440053,0.008661953951169553
il6_abatacept,2022,0.9784689875868126,0.009927895638208612,0.011603116774978803
il6_abatacept,2023,0.9793453756230436,0.005384604689791975,0.015270019687164542
il6_abatacept,2024,0.9779561511210163,0.0036990782211673945,0.018344770657816343
jak_inhibitor_rheum,2019,0.9014782338371906,0.08938254037889214,0.00913922578391734
jak_inhibitor_rheum,2020,0.9477962824678088,0.043585995120505705,0.008617722411685434
jak_inhibitor_rheum,2021,0.9712704195345588,0.02475323655443043,0.0039763439110106135
jak_inhibitor_rheum,2022,0.9845967904582741,0.011269031234136976,0.004134178307588892
jak_inhibitor_rheum,2023,0.9894895659364107,0.0036889591984129925,0.006821474865176323
jak_inhibitor_rheum,2024,0.9841232055813127,0.0026447553405018116,0.013232039078185565
low_tb_risk_biologic,2019,0.9187445631085174,0.07937666029959427,0.0018787765918883356
low_tb_risk_biologic,2020,0.9598870271316695,0.038736286260221735,0.0013766866081087398
low_tb_risk_biologic,2021,0.9793322277410655,0.019860544826434644,0.0008072274324997398
low_tb_risk_biologic,2022,0.9906877048874826,0.00835110872741325,0.0009611863851041014
