SICBL26CD,SICBL26CDH,SICBL26NM,ICB26NM,region,tb_count,tb_denominator,boundary_changed,tb_rate_per_100k,diabetes_prev,pct_non_uk_born,imd_score,resident_pop_mid2022,registered_patients,pct_age_65plus,pct_age_15_44,total_items,items_antituberculosis,items_oral_corticosteroids,items_inhaled_corticosteroids,items_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,rate_antituberculosis,rate_oral_corticosteroids,rate_inhaled_corticosteroids,rate_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine,rate_total_items
E38000053,05D,NHS Staffordshire and Stoke-on-Trent ICB - 05D,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Midlands,24.0,409719.0,False,5.857673185768783,8.3109,13.165472443581328,18.260555922473696,136573,154741.0,20.1750021002837,37.406375815071634,266952,0.0,1301,6084,245,15487,20936,5731,1907,58,7390,5740,7651,0.0,8.407597210823248,39.317310861374814,1.583290789125054,100.08336510685598,135.297044739274,37.036079642757905,12.323818509638688,0.3748198602826659,47.757220129118984,37.09424134521555,49.44390950039097,1725.153643830659
E38000028,04Y,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Midlands,9.0,413172.0,False,2.178269582643548,8.90954,3.3589160161251352,18.732647418024452,137724,140628.0,21.40114344227323,36.53255397218193,277690,2.0,1167,6851,592,16701,20344,5799,2096,80,6594,5412,6642,0.014221918821287368,8.298489632221179,48.71718292231988,4.209687971101061,118.76013311716017,144.6653582501351,41.23645362232272,14.904570924709162,0.5688767528514947,46.88966635378445,38.48451233040362,47.23099240549535,1974.6423187416447
E38000153,05Q,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Midlands,17.0,694434.0,False,2.4480368184737498,8.19107,5.318586429760663,15.326885565798909,231478,224154.0,22.746415410833624,35.51576148540735,400246,0.0,1970,8853,758,24009,29414,7851,2706,117,8388,9596,9633,0.0,8.788600694165618,39.49516850022752,3.381603718871847,107.10939800315853,131.22228467928298,35.025027436494554,12.072057603254905,0.521962579298161,37.42070183891432,42.80985393970217,42.974919028881935,1785.5849103741177
E38000257,M2L0M,"NHS Shropshire, Telford and Wrekin ICB - M2L0M","NHS Shropshire, Telford and Wrekin Integrated Care Board",Midlands,52.0,1549437.0,False,3.356057716447974,8.10164,7.900329589603983,20.099315749527086,516479,536819.0,23.542013229785084,34.95628880497896,917708,3.0,6080,20016,2173,54647,68769,16550,6425,271,22492,18123,24499,0.005588475817733724,11.32597765727368,37.28631065591941,4.047919317311794,101.79781267056494,128.10463116991016,30.829758261164375,11.96865237631306,0.5048256488686131,41.898666030822305,33.759982414929425,45.637356352886165,1709.5296552469267
E38000173,05V,NHS Staffordshire and Stoke-on-Trent ICB - 05V,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Midlands,27.0,477633.0,False,5.652875743510185,7.73938,6.828153157455697,13.874723178674842,159211,156303.0,23.73914768110657,34.612899304555896,293826,2.0,1275,6694,619,17845,22807,5524,1866,48,6213,6554,7948,0.012795659712225614,8.157233066543828,42.827073056819124,3.9602566809338273,114.16927378233304,145.9153055283648,35.34161212516714,11.938350511506497,0.3070958330934147,39.749716896028865,41.931376876963334,50.849951696384586,1879.8487553022014
E38000175,05W,NHS Staffordshire and Stoke-on-Trent ICB - 05W,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Midlands,98.0,804174.0,False,12.186417367385666,9.38868,12.746948439604811,32.92410192943318,268058,299302.0,17.559521820769657,40.94493187482877,598617,4.0,2480,16520,1127,36846,44153,14130,4441,98,14367,12593,12812,0.013364427902252575,8.285945299396596,55.19508723630313,3.7654275614596626,123.10642762159958,147.51989629203948,47.20984156470722,14.83785607847592,0.32742848360518806,48.001683917915685,42.074560143266666,42.806262570914996,2000.0434343906823
E38000238,71E,NHS Lincolnshire ICB - 71E,NHS Lincolnshire Integrated Care Board,Midlands,95.0,2327592.0,False,4.081471323152855,8.79762,9.992177544998636,22.239363820205604,775864,823662.0,24.42688869949081,34.85507404736409,2124208,6.0,9403,40200,4559,138476,184544,42376,11429,351,35857,49498,58945,0.007284541474536886,11.416090580845054,48.806427879397134,5.5350374304022765,168.12236087132828,224.05307031282248,51.448288254162506,13.87583741874701,0.42614567626040784,43.53363394207818,60.09503898443779,71.56454953609612,2578.9802127571747
E38000051,03W,"NHS Leicester, Leicestershire and Rutland ICB - 03W","NHS Leicester, Leicestershire and Rutland Integrated Care Board",Midlands,56.0,1052001.0,False,5.323188856284357,8.10817,10.327456649073309,11.210987281380913,350667,361903.0,23.429206168503715,34.4047990759955,657941,3.0,3275,13485,1920,39626,56323,12189,5098,188,13307,14029,18451,0.0082895140410552,9.04938616148526,37.261365614543124,5.305288986275328,109.49342779695112,155.63009977811734,33.68029554880728,14.086647527099803,0.5194762132394593,36.76952111477385,38.76453082732113,50.9832745238365,1818.0037192286331
E38000097,04C,"NHS Leicester, Leicestershire and Rutland ICB - 04C","NHS Leicester, Leicestershire and Rutland Integrated Care Board",Midlands,482.0,1117485.0,False,43.13257001212544,10.70692,41.094600535116335,34.44856084511201,372495,442393.0,12.150508710580864,49.12464708980477,709067,7.0,2349,13529,1789,38095,60117,25446,7759,149,12024,15196,17970,0.015823035174607192,5.3097585178789,30.58140612532296,4.043915703910325,86.11121785380872,135.89048651312294,57.51899329329352,17.538704274253885,0.336804605859496,27.179453562782413,34.34954893047584,40.61999172681303,1602.7988688790285
E38000201,04V,"NHS Leicester, Leicestershire and Rutland ICB - 04V","NHS Leicester, Leicestershire and Rutland Integrated Care Board",Midlands,50.0,1240494.0,False,4.030652304646375,7.99285,8.970181868067261,13.868434115763558,413498,424822.0,20.512591155825262,38.88428565375616,819430,1.0,3812,16515,2108,50709,69617,16361,5628,287,16521,16460,22460,0.002353927056508373,8.973169939409917,38.87510533823578,4.96207823511965,119.36528710848309,163.8733398929434,38.51260057153349,13.247901474029122,0.6755770652179031,38.88922890057483,38.745639350127824,52.869201689178055,1928.8784479146561
