utla,year,tb_count
E06000014,2008,13
E06000014,2009,10
E06000014,2010,4
E06000014,2011,6
E06000014,2012,5
E06000014,2013,11
E06000014,2014,2
E06000014,2015,2
E06000014,2016,4
E06000014,2017,2
E06000014,2018,4
E06000014,2019,8
E06000014,2020,12
E06000014,2021,4
E06000014,2022,4
E06000014,2023,7
E06000014,2024,8
E06000015,2001,47
E06000015,2002,46
E06000015,2003,59
E06000015,2004,39
E06000015,2005,28
E06000015,2006,36
E06000015,2007,40
E06000015,2008,55
E06000015,2009,45
E06000015,2010,40
E06000015,2011,53
E06000015,2012,34
E06000015,2013,34
E06000015,2014,37
E06000015,2015,35
E06000015,2016,28
E06000015,2017,30
E06000015,2018,29
E06000015,2019,29
E06000015,2020,27
E06000015,2021,42
E06000015,2022,31
E06000015,2023,33
E06000015,2024,32
E06000016,2001,264
E06000016,2002,197
E06000016,2003,198
E06000016,2004,151
E06000016,2005,263
E06000016,2006,227
E06000016,2007,216
E06000016,2008,177
E06000016,2009,206
E06000016,2010,207
E06000016,2011,188
E06000016,2012,184
E06000016,2013,158
E06000016,2014,142
E06000016,2015,125
E06000016,2016,130
E06000016,2017,135
E06000016,2018,142
E06000016,2019,146
E06000016,2020,132
E06000016,2021,151
E06000016,2022,140
E06000016,2023,164
E06000016,2024,178
E06000017,2001,0
E06000017,2002,1
E06000017,2003,2
E06000017,2004,1
E06000017,2005,1
E06000017,2006,1
E06000017,2007,0
E06000017,2008,0
E06000017,2009,2
E06000017,2010,1
E06000017,2011,3
E06000017,2012,3
E06000017,2013,2
E06000017,2014,1
E06000017,2015,2
E06000017,2016,1
E06000017,2017,1
E06000017,2018,0
E06000017,2019,2
E06000017,2020,0
E06000017,2021,3
E06000017,2022,0
E06000017,2023,1
E06000017,2024,2
E06000018,2001,52
E06000018,2002,40
E06000018,2003,36
E06000018,2004,48
E06000018,2005,57
E06000018,2006,82
E06000018,2007,80
E06000018,2008,81
E06000018,2009,55
E06000018,2010,69
E06000018,2011,67
E06000018,2012,60
E06000018,2013,58
E06000018,2014,50
E06000018,2015,54
E06000018,2016,48
E06000018,2017,43
E06000018,2018,33
E06000018,2019,48
E06000018,2020,36
E06000018,2021,45
E06000018,2022,51
E06000018,2023,38
E06000018,2024,36
E06000019,2001,2
E06000019,2002,4
E06000019,2003,1
E06000019,2004,6
E06000019,2005,1
E06000019,2006,3
E06000019,2007,4
E06000019,2008,8
E06000019,2009,5
E06000019,2010,3
E06000019,2011,6
E06000019,2012,7
E06000019,2013,5
E06000019,2014,3
E06000019,2015,3
E06000019,2016,3
E06000019,2017,6
E06000019,2018,8
E06000019,2019,1
E06000019,2020,3
E06000019,2021,1
E06000019,2022,1
E06000019,2023,4
E06000019,2024,6
E06000020,2001,4
E06000020,2002,3
E06000020,2003,3
E06000020,2004,16
E06000020,2005,12
E06000020,2006,12
E06000020,2007,11
E06000020,2008,13
E06000020,2009,12
E06000020,2010,10
E06000020,2011,7
E06000020,2012,14
E06000020,2013,12
E06000020,2014,9
E06000020,2015,5
E06000020,2016,5
E06000020,2017,9
E06000020,2018,7
E06000020,2019,9
E06000020,2020,7
E06000020,2021,7
E06000020,2022,8
E06000020,2023,10
E06000020,2024,16
E06000021,2001,29
E06000021,2002,35
E06000021,2003,32
E06000021,2004,26
E06000021,2005,42
E06000021,2006,39
E06000021,2007,27
E06000021,2008,30
E06000021,2009,30
E06000021,2010,32
E06000021,2011,46
E06000021,2012,40
E06000021,2013,35
E06000021,2014,28
E06000021,2015,28
E06000021,2016,33
E06000021,2017,21
E06000021,2018,26
E06000021,2019,25
E06000021,2020,24
E06000021,2021,23
E06000021,2022,29
E06000021,2023,30
E06000021,2024,37
E06000022,2001,11
E06000022,2002,11
E06000022,2003,12
E06000022,2004,9
E06000022,2005,18
E06000022,2006,4
E06000022,2007,5
E06000022,2008,8
E06000022,2009,12
E06000022,2010,12
E06000022,2011,4
E06000022,2012,11
E06000022,2013,9
E06000022,2014,19
E06000022,2015,12
E06000022,2016,5
