year,age_group,birthplace,tb_count,region_name
2010,15 to 44,All places of birth,300.0,East Midlands
2010,45 to 64,Non-UK born,86.0,East Midlands
2010,45 to 64,UK born,18.0,East Midlands
2010,45 to 64,All places of birth,104.0,East Midlands
2010,65 and older,Non-UK born,31.0,East Midlands
2010,65 and older,UK born,24.0,East Midlands
2010,65 and older,All places of birth,55.0,East Midlands
2011,0 to 14,Non-UK born,6.0,East Midlands
2011,0 to 14,UK born,5.0,East Midlands
2011,0 to 14,All places of birth,11.0,East Midlands
2011,15 to 44,Non-UK born,212.0,East Midlands
2011,15 to 44,UK born,64.0,East Midlands
2011,15 to 44,All places of birth,276.0,East Midlands
2011,45 to 64,Non-UK born,86.0,East Midlands
2011,45 to 64,UK born,32.0,East Midlands
2011,45 to 64,All places of birth,118.0,East Midlands
2011,65 and older,Non-UK born,27.0,East Midlands
2011,65 and older,UK born,41.0,East Midlands
2011,65 and older,All places of birth,68.0,East Midlands
2012,0 to 14,Non-UK born,7.0,East Midlands
2012,0 to 14,UK born,9.0,East Midlands
2012,0 to 14,All places of birth,16.0,East Midlands
2012,15 to 44,Non-UK born,231.0,East Midlands
2012,15 to 44,UK born,45.0,East Midlands
2012,15 to 44,All places of birth,276.0,East Midlands
2012,45 to 64,Non-UK born,75.0,East Midlands
2012,45 to 64,UK born,32.0,East Midlands
2012,45 to 64,All places of birth,107.0,East Midlands
2012,65 and older,Non-UK born,41.0,East Midlands
2012,65 and older,UK born,41.0,East Midlands
2012,65 and older,All places of birth,82.0,East Midlands
2013,0 to 14,Non-UK born,9.0,East Midlands
2013,0 to 14,UK born,10.0,East Midlands
2013,0 to 14,All places of birth,19.0,East Midlands
2013,15 to 44,Non-UK born,174.0,East Midlands
2013,15 to 44,UK born,45.0,East Midlands
2013,15 to 44,All places of birth,219.0,East Midlands
2013,45 to 64,Non-UK born,76.0,East Midlands
2013,45 to 64,UK born,35.0,East Midlands
2013,45 to 64,All places of birth,111.0,East Midlands
2013,65 and older,Non-UK born,33.0,East Midlands
2013,65 and older,UK born,26.0,East Midlands
2013,65 and older,All places of birth,59.0,East Midlands
2014,0 to 14,Non-UK born,2.0,East Midlands
2014,0 to 14,UK born,12.0,East Midlands
2014,0 to 14,All places of birth,14.0,East Midlands
2014,15 to 44,Non-UK born,160.0,East Midlands
2014,15 to 44,UK born,50.0,East Midlands
2014,15 to 44,All places of birth,210.0,East Midlands
2014,45 to 64,Non-UK born,62.0,East Midlands
2014,45 to 64,UK born,32.0,East Midlands
2014,45 to 64,All places of birth,94.0,East Midlands
2014,65 and older,Non-UK born,34.0,East Midlands
2014,65 and older,UK born,38.0,East Midlands
2014,65 and older,All places of birth,72.0,East Midlands
2015,0 to 14,Non-UK born,4.0,East Midlands
2015,0 to 14,UK born,8.0,East Midlands
2015,0 to 14,All places of birth,12.0,East Midlands
2015,15 to 44,Non-UK born,159.0,East Midlands
2015,15 to 44,UK born,42.0,East Midlands
2015,15 to 44,All places of birth,201.0,East Midlands
2015,45 to 64,Non-UK born,55.0,East Midlands
2015,45 to 64,UK born,29.0,East Midlands
2015,45 to 64,All places of birth,84.0,East Midlands
2015,65 and older,Non-UK born,34.0,East Midlands
2015,65 and older,UK born,20.0,East Midlands
2015,65 and older,All places of birth,54.0,East Midlands
2016,0 to 14,Non-UK born,2.0,East Midlands
2016,0 to 14,UK born,19.0,East Midlands
2016,0 to 14,All places of birth,21.0,East Midlands
2016,15 to 44,Non-UK born,161.0,East Midlands
2016,15 to 44,UK born,26.0,East Midlands
2016,15 to 44,All places of birth,187.0,East Midlands
2016,45 to 64,Non-UK born,56.0,East Midlands
2016,45 to 64,UK born,28.0,East Midlands
2016,45 to 64,All places of birth,84.0,East Midlands
2016,65 and older,Non-UK born,22.0,East Midlands
2016,65 and older,UK born,21.0,East Midlands
2016,65 and older,All places of birth,43.0,East Midlands
2017,0 to 14,Non-UK born,6.0,East Midlands
2017,0 to 14,UK born,11.0,East Midlands
2017,0 to 14,All places of birth,17.0,East Midlands
2017,15 to 44,Non-UK born,138.0,East Midlands
2017,15 to 44,UK born,44.0,East Midlands
2017,15 to 44,All places of birth,182.0,East Midlands
2017,45 to 64,Non-UK born,56.0,East Midlands
2017,45 to 64,UK born,32.0,East Midlands
2017,45 to 64,All places of birth,88.0,East Midlands
2017,65 and older,Non-UK born,25.0,East Midlands
2017,65 and older,UK born,25.0,East Midlands
2017,65 and older,All places of birth,50.0,East Midlands
2018,0 to 14,Non-UK born,1.0,East Midlands
2018,0 to 14,UK born,7.0,East Midlands
