year,age_group,birthplace,tb_count,region_name
2002,45 to 64,UK born,106.0,London
2002,45 to 64,All places of birth,465.0,London
2002,65 and older,Non-UK born,204.0,London
2002,65 and older,UK born,100.0,London
2002,65 and older,All places of birth,304.0,London
2003,0 to 14,Non-UK born,74.0,London
2003,0 to 14,UK born,62.0,London
2003,0 to 14,All places of birth,136.0,London
2003,15 to 44,Non-UK born,1685.0,London
2003,15 to 44,UK born,242.0,London
2003,15 to 44,All places of birth,1927.0,London
2003,45 to 64,Non-UK born,389.0,London
2003,45 to 64,UK born,82.0,London
2003,45 to 64,All places of birth,471.0,London
2003,65 and older,Non-UK born,177.0,London
2003,65 and older,UK born,94.0,London
2003,65 and older,All places of birth,271.0,London
2004,0 to 14,Non-UK born,60.0,London
2004,0 to 14,UK born,111.0,London
2004,0 to 14,All places of birth,171.0,London
2004,15 to 44,Non-UK born,1674.0,London
2004,15 to 44,UK born,243.0,London
2004,15 to 44,All places of birth,1917.0,London
2004,45 to 64,Non-UK born,387.0,London
2004,45 to 64,UK born,96.0,London
2004,45 to 64,All places of birth,483.0,London
2004,65 and older,Non-UK born,176.0,London
2004,65 and older,UK born,85.0,London
2004,65 and older,All places of birth,261.0,London
2005,0 to 14,Non-UK born,80.0,London
2005,0 to 14,UK born,113.0,London
2005,0 to 14,All places of birth,193.0,London
2005,15 to 44,Non-UK born,1848.0,London
2005,15 to 44,UK born,310.0,London
2005,15 to 44,All places of birth,2158.0,London
2005,45 to 64,Non-UK born,423.0,London
2005,45 to 64,UK born,79.0,London
2005,45 to 64,All places of birth,502.0,London
2005,65 and older,Non-UK born,229.0,London
2005,65 and older,UK born,76.0,London
2005,65 and older,All places of birth,305.0,London
2006,0 to 14,Non-UK born,72.0,London
2006,0 to 14,UK born,97.0,London
2006,0 to 14,All places of birth,169.0,London
2006,15 to 44,Non-UK born,1844.0,London
2006,15 to 44,UK born,283.0,London
2006,15 to 44,All places of birth,2127.0,London
2006,45 to 64,Non-UK born,428.0,London
2006,45 to 64,UK born,81.0,London
2006,45 to 64,All places of birth,509.0,London
2006,65 and older,Non-UK born,212.0,London
2006,65 and older,UK born,85.0,London
2006,65 and older,All places of birth,297.0,London
2007,0 to 14,Non-UK born,74.0,London
2007,0 to 14,UK born,114.0,London
2007,0 to 14,All places of birth,188.0,London
2007,15 to 44,Non-UK born,1816.0,London
2007,15 to 44,UK born,239.0,London
2007,15 to 44,All places of birth,2055.0,London
2007,45 to 64,Non-UK born,457.0,London
2007,45 to 64,UK born,90.0,London
2007,45 to 64,All places of birth,547.0,London
2007,65 and older,Non-UK born,226.0,London
2007,65 and older,UK born,77.0,London
2007,65 and older,All places of birth,303.0,London
2008,0 to 14,Non-UK born,77.0,London
2008,0 to 14,UK born,118.0,London
2008,0 to 14,All places of birth,195.0,London
2008,15 to 44,Non-UK born,1853.0,London
2008,15 to 44,UK born,284.0,London
2008,15 to 44,All places of birth,2137.0,London
2008,45 to 64,Non-UK born,514.0,London
2008,45 to 64,UK born,88.0,London
2008,45 to 64,All places of birth,602.0,London
2008,65 and older,Non-UK born,226.0,London
2008,65 and older,UK born,62.0,London
2008,65 and older,All places of birth,288.0,London
2009,0 to 14,Non-UK born,47.0,London
2009,0 to 14,UK born,89.0,London
2009,0 to 14,All places of birth,136.0,London
2009,15 to 44,Non-UK born,1904.0,London
2009,15 to 44,UK born,279.0,London
2009,15 to 44,All places of birth,2183.0,London
2009,45 to 64,Non-UK born,529.0,London
2009,45 to 64,UK born,89.0,London
2009,45 to 64,All places of birth,618.0,London
2009,65 and older,Non-UK born,274.0,London
2009,65 and older,UK born,54.0,London
2009,65 and older,All places of birth,328.0,London
2010,0 to 14,Non-UK born,43.0,London
2010,0 to 14,UK born,99.0,London
2010,0 to 14,All places of birth,142.0,London
2010,15 to 44,Non-UK born,1909.0,London
2010,15 to 44,UK born,249.0,London
2010,15 to 44,All places of birth,2158.0,London
2010,45 to 64,Non-UK born,511.0,London
2010,45 to 64,UK born,97.0,London
2010,45 to 64,All places of birth,608.0,London
2010,65 and older,Non-UK born,233.0,London
2010,65 and older,UK born,58.0,London
2010,65 and older,All places of birth,291.0,London
2011,0 to 14,Non-UK born,53.0,London
2011,0 to 14,UK born,79.0,London
2011,0 to 14,All places of birth,132.0,London
2011,15 to 44,Non-UK born,2050.0,London
2011,15 to 44,UK born,279.0,London
2011,15 to 44,All places of birth,2329.0,London
2011,45 to 64,Non-UK born,588.0,London
2011,45 to 64,UK born,90.0,London
2011,45 to 64,All places of birth,678.0,London
2011,65 and older,Non-UK born,238.0,London
2011,65 and older,UK born,57.0,London
2011,65 and older,All places of birth,295.0,London
2012,0 to 14,Non-UK born,45.0,London
2012,0 to 14,UK born,108.0,London
2012,0 to 14,All places of birth,153.0,London
2012,15 to 44,Non-UK born,1975.0,London
2012,15 to 44,UK born,283.0,London
2012,15 to 44,All places of birth,2258.0,London
2012,45 to 64,Non-UK born,520.0,London
2012,45 to 64,UK born,120.0,London
2012,45 to 64,All places of birth,640.0,London
2012,65 and older,Non-UK born,259.0,London
2012,65 and older,UK born,50.0,London
2012,65 and older,All places of birth,309.0,London
2013,0 to 14,Non-UK born,26.0,London
2013,0 to 14,UK born,79.0,London
2013,0 to 14,All places of birth,105.0,London
2013,15 to 44,Non-UK born,1694.0,London
2013,15 to 44,UK born,246.0,London
2013,15 to 44,All places of birth,1940.0,London
2013,45 to 64,Non-UK born,508.0,London
2013,45 to 64,UK born,114.0,London
2013,45 to 64,All places of birth,622.0,London
2013,65 and older,Non-UK born,237.0,London
2013,65 and older,UK born,46.0,London
2013,65 and older,All places of birth,283.0,London
2014,0 to 14,Non-UK born,28.0,London
2014,0 to 14,UK born,83.0,London
2014,0 to 14,All places of birth,111.0,London
2014,15 to 44,Non-UK born,1357.0,London
2014,15 to 44,UK born,251.0,London
2014,15 to 44,All places of birth,1608.0,London
2014,45 to 64,Non-UK born,487.0,London
2014,45 to 64,UK born,94.0,London
2014,45 to 64,All places of birth,581.0,London
2014,65 and older,Non-UK born,205.0,London
2014,65 and older,UK born,49.0,London
2014,65 and older,All places of birth,254.0,London
2015,0 to 14,Non-UK born,21.0,London
2015,0 to 14,UK born,61.0,London
2015,0 to 14,All places of birth,82.0,London
2015,15 to 44,Non-UK born,1168.0,London
2015,15 to 44,UK born,240.0,London
2015,15 to 44,All places of birth,1408.0,London
2015,45 to 64,Non-UK born,428.0,London
2015,45 to 64,UK born,77.0,London
2015,45 to 64,All places of birth,505.0,London
2015,65 and older,Non-UK born,228.0,London
2015,65 and older,UK born,42.0,London
2015,65 and older,All places of birth,270.0,London
2016,0 to 14,Non-UK born,16.0,London
2016,0 to 14,UK born,65.0,London
2016,0 to 14,All places of birth,81.0,London
2016,15 to 44,Non-UK born,1085.0,London
2016,15 to 44,UK born,193.0,London
2016,15 to 44,All places of birth,1278.0,London
2016,45 to 64,Non-UK born,450.0,London
2016,45 to 64,UK born,94.0,London
2016,45 to 64,All places of birth,544.0,London
2016,65 and older,Non-UK born,230.0,London
2016,65 and older,UK born,47.0,London
2016,65 and older,All places of birth,277.0,London
2017,0 to 14,Non-UK born,16.0,London
2017,0 to 14,UK born,36.0,London
2017,0 to 14,All places of birth,52.0,London
2017,15 to 44,Non-UK born,901.0,London
2017,15 to 44,UK born,202.0,London
2017,15 to 44,All places of birth,1103.0,London
2017,45 to 64,Non-UK born,395.0,London
2017,45 to 64,UK born,85.0,London
2017,45 to 64,All places of birth,480.0,London
2017,65 and older,Non-UK born,205.0,London
2017,65 and older,UK born,49.0,London
2017,65 and older,All places of birth,254.0,London
2018,0 to 14,Non-UK born,13.0,London
2018,0 to 14,UK born,32.0,London
2018,0 to 14,All places of birth,45.0,London
2018,15 to 44,Non-UK born,789.0,London
2018,15 to 44,UK born,162.0,London
2018,15 to 44,All places of birth,951.0,London
2018,45 to 64,Non-UK born,378.0,London
2018,45 to 64,UK born,69.0,London
2018,45 to 64,All places of birth,447.0,London
2018,65 and older,Non-UK born,188.0,London
2018,65 and older,UK born,42.0,London
2018,65 and older,All places of birth,230.0,London
2019,0 to 14,Non-UK born,10.0,London
2019,0 to 14,UK born,38.0,London
2019,0 to 14,All places of birth,48.0,London
2019,15 to 44,Non-UK born,791.0,London
2019,15 to 44,UK born,158.0,London
2019,15 to 44,All places of birth,949.0,London
2019,45 to 64,Non-UK born,368.0,London
2019,45 to 64,UK born,71.0,London
2019,45 to 64,All places of birth,439.0,London
2019,65 and older,Non-UK born,186.0,London
2019,65 and older,UK born,25.0,London
2019,65 and older,All places of birth,211.0,London
2020,0 to 14,Non-UK born,11.0,London
2020,0 to 14,UK born,27.0,London
2020,0 to 14,All places of birth,38.0,London
2020,15 to 44,Non-UK born,662.0,London
2020,15 to 44,UK born,172.0,London
2020,15 to 44,All places of birth,834.0,London
2020,45 to 64,Non-UK born,360.0,London
2020,45 to 64,UK born,63.0,London
2020,45 to 64,All places of birth,423.0,London
2020,65 and older,Non-UK born,128.0,London
2020,65 and older,UK born,30.0,London
2020,65 and older,All places of birth,158.0,London
2021,0 to 14,Non-UK born,17.0,London
2021,0 to 14,UK born,19.0,London
2021,0 to 14,All places of birth,36.0,London
2021,15 to 44,Non-UK born,758.0,London
2021,15 to 44,UK born,138.0,London
2021,15 to 44,All places of birth,896.0,London
2021,45 to 64,Non-UK born,351.0,London
2021,45 to 64,UK born,67.0,London
2021,45 to 64,All places of birth,418.0,London
2021,65 and older,Non-UK born,181.0,London
2021,65 and older,UK born,26.0,London
2021,65 and older,All places of birth,207.0,London
2022,0 to 14,Non-UK born,16.0,London
2022,0 to 14,UK born,20.0,London
2022,0 to 14,All places of birth,36.0,London
2022,15 to 44,Non-UK born,779.0,London
2022,15 to 44,UK born,127.0,London
2022,15 to 44,All places of birth,906.0,London
2022,45 to 64,Non-UK born,358.0,London
2022,45 to 64,UK born,58.0,London
2022,45 to 64,All places of birth,416.0,London
2022,65 and older,Non-UK born,191.0,London
2022,65 and older,UK born,20.0,London
2022,65 and older,All places of birth,211.0,London
2023,0 to 14,Non-UK born,18.0,London
2023,0 to 14,UK born,29.0,London
2023,0 to 14,All places of birth,47.0,London
2023,15 to 44,Non-UK born,875.0,London
2023,15 to 44,UK born,110.0,London
2023,15 to 44,All places of birth,985.0,London
2023,45 to 64,Non-UK born,359.0,London
2023,45 to 64,UK born,60.0,London
2023,45 to 64,All places of birth,419.0,London
2023,65 and older,Non-UK born,167.0,London
2023,65 and older,UK born,32.0,London
2023,65 and older,All places of birth,199.0,London
2024,0 to 14,Non-UK born,18.0,London
2024,0 to 14,UK born,25.0,London
2024,0 to 14,All places of birth,43.0,London
2024,15 to 44,Non-UK born,1057.0,London
2024,15 to 44,UK born,140.0,London
2024,15 to 44,All places of birth,1197.0,London
2024,45 to 64,Non-UK born,366.0,London
2024,45 to 64,UK born,60.0,London
2024,45 to 64,All places of birth,426.0,London
2024,65 and older,Non-UK born,184.0,London
2024,65 and older,UK born,26.0,London
2024,65 and older,All places of birth,210.0,London
2001,0 to 14,Non-UK born,3.0,North East
2001,0 to 14,UK born,9.0,North East
2001,0 to 14,All places of birth,12.0,North East
2001,15 to 44,Non-UK born,43.0,North East
2001,15 to 44,UK born,14.0,North East
2001,15 to 44,All places of birth,57.0,North East
2001,45 to 64,Non-UK born,7.0,North East
2001,45 to 64,UK born,34.0,North East
2001,45 to 64,All places of birth,41.0,North East
2001,65 and older,Non-UK born,6.0,North East
2001,65 and older,UK born,35.0,North East
2001,65 and older,All places of birth,41.0,North East
2002,0 to 14,Non-UK born,0.0,North East
2002,0 to 14,UK born,6.0,North East
2002,0 to 14,All places of birth,6.0,North East
2002,15 to 44,Non-UK born,39.0,North East
2002,15 to 44,UK born,18.0,North East
2002,15 to 44,All places of birth,57.0,North East
2002,45 to 64,Non-UK born,12.0,North East
2002,45 to 64,UK born,27.0,North East
2002,45 to 64,All places of birth,39.0,North East
2002,65 and older,Non-UK born,5.0,North East
2002,65 and older,UK born,40.0,North East
2002,65 and older,All places of birth,45.0,North East
2003,0 to 14,Non-UK born,1.0,North East
2003,0 to 14,UK born,4.0,North East
2003,0 to 14,All places of birth,5.0,North East
2003,15 to 44,Non-UK born,46.0,North East
2003,15 to 44,UK born,14.0,North East
2003,15 to 44,All places of birth,60.0,North East
2003,45 to 64,Non-UK born,6.0,North East
2003,45 to 64,UK born,18.0,North East
2003,45 to 64,All places of birth,24.0,North East
2003,65 and older,Non-UK born,7.0,North East
2003,65 and older,UK born,31.0,North East
2003,65 and older,All places of birth,38.0,North East
2004,0 to 14,Non-UK born,3.0,North East
2004,0 to 14,UK born,4.0,North East
2004,0 to 14,All places of birth,7.0,North East
2004,15 to 44,Non-UK born,50.0,North East
2004,15 to 44,UK born,14.0,North East
2004,15 to 44,All places of birth,64.0,North East
2004,45 to 64,Non-UK born,4.0,North East
2004,45 to 64,UK born,24.0,North East
2004,45 to 64,All places of birth,28.0,North East
2004,65 and older,Non-UK born,2.0,North East
2004,65 and older,UK born,26.0,North East
2004,65 and older,All places of birth,28.0,North East
2005,0 to 14,Non-UK born,6.0,North East
2005,0 to 14,UK born,2.0,North East
2005,0 to 14,All places of birth,8.0,North East
2005,15 to 44,Non-UK born,40.0,North East
2005,15 to 44,UK born,14.0,North East
2005,15 to 44,All places of birth,54.0,North East
2005,45 to 64,Non-UK born,11.0,North East
2005,45 to 64,UK born,20.0,North East
2005,45 to 64,All places of birth,31.0,North East
2005,65 and older,Non-UK born,3.0,North East
2005,65 and older,UK born,19.0,North East
2005,65 and older,All places of birth,22.0,North East
2006,0 to 14,Non-UK born,2.0,North East
2006,0 to 14,UK born,10.0,North East
2006,0 to 14,All places of birth,12.0,North East
2006,15 to 44,Non-UK born,42.0,North East
2006,15 to 44,UK born,20.0,North East
2006,15 to 44,All places of birth,62.0,North East
2006,45 to 64,Non-UK born,7.0,North East
2006,45 to 64,UK born,15.0,North East
2006,45 to 64,All places of birth,22.0,North East
2006,65 and older,Non-UK born,6.0,North East
2006,65 and older,UK born,21.0,North East
2006,65 and older,All places of birth,27.0,North East
2007,0 to 14,Non-UK born,2.0,North East
2007,0 to 14,UK born,6.0,North East
2007,0 to 14,All places of birth,8.0,North East
2007,15 to 44,Non-UK born,68.0,North East
2007,15 to 44,UK born,28.0,North East
2007,15 to 44,All places of birth,96.0,North East
2007,45 to 64,Non-UK born,13.0,North East
2007,45 to 64,UK born,19.0,North East
2007,45 to 64,All places of birth,32.0,North East
2007,65 and older,Non-UK born,6.0,North East
2007,65 and older,UK born,26.0,North East
2007,65 and older,All places of birth,32.0,North East
2008,0 to 14,Non-UK born,0.0,North East
2008,0 to 14,UK born,2.0,North East
2008,0 to 14,All places of birth,2.0,North East
2008,15 to 44,Non-UK born,55.0,North East
2008,15 to 44,UK born,13.0,North East
2008,15 to 44,All places of birth,68.0,North East
2008,45 to 64,Non-UK born,11.0,North East
2008,45 to 64,UK born,19.0,North East
2008,45 to 64,All places of birth,30.0,North East
2008,65 and older,Non-UK born,6.0,North East
2008,65 and older,UK born,29.0,North East
2008,65 and older,All places of birth,35.0,North East
2009,0 to 14,Non-UK born,4.0,North East
2009,0 to 14,UK born,4.0,North East
2009,0 to 14,All places of birth,8.0,North East
2009,15 to 44,Non-UK born,51.0,North East
2009,15 to 44,UK born,15.0,North East
2009,15 to 44,All places of birth,66.0,North East
2009,45 to 64,Non-UK born,9.0,North East
2009,45 to 64,UK born,19.0,North East
2009,45 to 64,All places of birth,28.0,North East
2009,65 and older,Non-UK born,6.0,North East
2009,65 and older,UK born,17.0,North East
2009,65 and older,All places of birth,23.0,North East
2010,0 to 14,Non-UK born,2.0,North East
2010,0 to 14,UK born,3.0,North East
2010,0 to 14,All places of birth,5.0,North East
2010,15 to 44,Non-UK born,60.0,North East
2010,15 to 44,UK born,13.0,North East
2010,15 to 44,All places of birth,73.0,North East
2010,45 to 64,Non-UK born,14.0,North East
2010,45 to 64,UK born,19.0,North East
2010,45 to 64,All places of birth,33.0,North East
2010,65 and older,Non-UK born,5.0,North East
2010,65 and older,UK born,18.0,North East
2010,65 and older,All places of birth,23.0,North East
2011,0 to 14,Non-UK born,0.0,North East
2011,0 to 14,UK born,1.0,North East
2011,0 to 14,All places of birth,1.0,North East
2011,15 to 44,Non-UK born,56.0,North East
2011,15 to 44,UK born,11.0,North East
2011,15 to 44,All places of birth,67.0,North East
2011,45 to 64,Non-UK born,10.0,North East
2011,45 to 64,UK born,16.0,North East
2011,45 to 64,All places of birth,26.0,North East
2011,65 and older,Non-UK born,5.0,North East
2011,65 and older,UK born,11.0,North East
2011,65 and older,All places of birth,16.0,North East
2012,0 to 14,Non-UK born,1.0,North East
2012,0 to 14,UK born,6.0,North East
2012,0 to 14,All places of birth,7.0,North East
2012,15 to 44,Non-UK born,68.0,North East
2012,15 to 44,UK born,16.0,North East
2012,15 to 44,All places of birth,84.0,North East
2012,45 to 64,Non-UK born,15.0,North East
2012,45 to 64,UK born,14.0,North East
2012,45 to 64,All places of birth,29.0,North East
2012,65 and older,Non-UK born,11.0,North East
2012,65 and older,UK born,22.0,North East
2012,65 and older,All places of birth,33.0,North East
2013,0 to 14,Non-UK born,1.0,North East
2013,0 to 14,UK born,3.0,North East
2013,0 to 14,All places of birth,4.0,North East
2013,15 to 44,Non-UK born,58.0,North East
2013,15 to 44,UK born,12.0,North East
2013,15 to 44,All places of birth,70.0,North East
2013,45 to 64,Non-UK born,11.0,North East
2013,45 to 64,UK born,16.0,North East
2013,45 to 64,All places of birth,27.0,North East
2013,65 and older,Non-UK born,5.0,North East
2013,65 and older,UK born,17.0,North East
2013,65 and older,All places of birth,22.0,North East
2014,0 to 14,Non-UK born,1.0,North East
2014,0 to 14,UK born,10.0,North East
2014,0 to 14,All places of birth,11.0,North East
2014,15 to 44,Non-UK born,53.0,North East
2014,15 to 44,UK born,22.0,North East
2014,15 to 44,All places of birth,75.0,North East
2014,45 to 64,Non-UK born,11.0,North East
2014,45 to 64,UK born,20.0,North East
2014,45 to 64,All places of birth,31.0,North East
2014,65 and older,Non-UK born,10.0,North East
2014,65 and older,UK born,28.0,North East
2014,65 and older,All places of birth,38.0,North East
2015,0 to 14,Non-UK born,1.0,North East
2015,0 to 14,UK born,5.0,North East
2015,0 to 14,All places of birth,6.0,North East
2015,15 to 44,Non-UK born,49.0,North East
2015,15 to 44,UK born,15.0,North East
2015,15 to 44,All places of birth,64.0,North East
2015,45 to 64,Non-UK born,16.0,North East
2015,45 to 64,UK born,15.0,North East
2015,45 to 64,All places of birth,31.0,North East
2015,65 and older,Non-UK born,6.0,North East
2015,65 and older,UK born,20.0,North East
2015,65 and older,All places of birth,26.0,North East
2016,0 to 14,Non-UK born,2.0,North East
2016,0 to 14,UK born,4.0,North East
2016,0 to 14,All places of birth,6.0,North East
2016,15 to 44,Non-UK born,51.0,North East
2016,15 to 44,UK born,13.0,North East
2016,15 to 44,All places of birth,64.0,North East
2016,45 to 64,Non-UK born,13.0,North East
2016,45 to 64,UK born,16.0,North East
2016,45 to 64,All places of birth,29.0,North East
2016,65 and older,Non-UK born,5.0,North East
2016,65 and older,UK born,17.0,North East
2016,65 and older,All places of birth,22.0,North East
2017,0 to 14,Non-UK born,3.0,North East
2017,0 to 14,UK born,4.0,North East
2017,0 to 14,All places of birth,7.0,North East
2017,15 to 44,Non-UK born,50.0,North East
2017,15 to 44,UK born,10.0,North East
2017,15 to 44,All places of birth,60.0,North East
2017,45 to 64,Non-UK born,3.0,North East
2017,45 to 64,UK born,16.0,North East
2017,45 to 64,All places of birth,19.0,North East
2017,65 and older,Non-UK born,8.0,North East
2017,65 and older,UK born,14.0,North East
2017,65 and older,All places of birth,22.0,North East
2018,0 to 14,Non-UK born,1.0,North East
2018,0 to 14,UK born,3.0,North East
2018,0 to 14,All places of birth,4.0,North East
2018,15 to 44,Non-UK born,45.0,North East
2018,15 to 44,UK born,16.0,North East
2018,15 to 44,All places of birth,61.0,North East
2018,45 to 64,Non-UK born,14.0,North East
2018,45 to 64,UK born,11.0,North East
2018,45 to 64,All places of birth,25.0,North East
2018,65 and older,Non-UK born,6.0,North East
2018,65 and older,UK born,23.0,North East
2018,65 and older,All places of birth,29.0,North East
2019,0 to 14,Non-UK born,0.0,North East
2019,0 to 14,UK born,1.0,North East
2019,0 to 14,All places of birth,1.0,North East
2019,15 to 44,Non-UK born,36.0,North East
2019,15 to 44,UK born,8.0,North East
2019,15 to 44,All places of birth,44.0,North East
2019,45 to 64,Non-UK born,11.0,North East
2019,45 to 64,UK born,7.0,North East
2019,45 to 64,All places of birth,18.0,North East
2019,65 and older,Non-UK born,5.0,North East
2019,65 and older,UK born,8.0,North East
2019,65 and older,All places of birth,13.0,North East
2020,0 to 14,Non-UK born,2.0,North East
2020,0 to 14,UK born,4.0,North East
2020,0 to 14,All places of birth,6.0,North East
2020,15 to 44,Non-UK born,26.0,North East
2020,15 to 44,UK born,13.0,North East
2020,15 to 44,All places of birth,39.0,North East
2020,45 to 64,Non-UK born,8.0,North East
2020,45 to 64,UK born,9.0,North East
2020,45 to 64,All places of birth,17.0,North East
2020,65 and older,Non-UK born,5.0,North East
2020,65 and older,UK born,17.0,North East
2020,65 and older,All places of birth,22.0,North East
2021,0 to 14,Non-UK born,3.0,North East
2021,0 to 14,UK born,3.0,North East
2021,0 to 14,All places of birth,6.0,North East
2021,15 to 44,Non-UK born,45.0,North East
2021,15 to 44,UK born,3.0,North East
2021,15 to 44,All places of birth,48.0,North East
2021,45 to 64,Non-UK born,8.0,North East
2021,45 to 64,UK born,6.0,North East
2021,45 to 64,All places of birth,14.0,North East
2021,65 and older,Non-UK born,1.0,North East
2021,65 and older,UK born,11.0,North East
2021,65 and older,All places of birth,12.0,North East
2022,0 to 14,Non-UK born,1.0,North East
2022,0 to 14,UK born,0.0,North East
2022,0 to 14,All places of birth,1.0,North East
2022,15 to 44,Non-UK born,40.0,North East
2022,15 to 44,UK born,4.0,North East
2022,15 to 44,All places of birth,44.0,North East
2022,45 to 64,Non-UK born,11.0,North East
2022,45 to 64,UK born,7.0,North East
2022,45 to 64,All places of birth,18.0,North East
2022,65 and older,Non-UK born,6.0,North East
2022,65 and older,UK born,5.0,North East
2022,65 and older,All places of birth,11.0,North East
2023,0 to 14,Non-UK born,1.0,North East
2023,0 to 14,UK born,1.0,North East
2023,0 to 14,All places of birth,2.0,North East
2023,15 to 44,Non-UK born,63.0,North East
2023,15 to 44,UK born,4.0,North East
2023,15 to 44,All places of birth,67.0,North East
2023,45 to 64,Non-UK born,16.0,North East
2023,45 to 64,UK born,10.0,North East
2023,45 to 64,All places of birth,26.0,North East
2023,65 and older,Non-UK born,4.0,North East
2023,65 and older,UK born,12.0,North East
2023,65 and older,All places of birth,16.0,North East
2024,0 to 14,Non-UK born,5.0,North East
2024,0 to 14,UK born,7.0,North East
2024,0 to 14,All places of birth,12.0,North East
2024,15 to 44,Non-UK born,71.0,North East
2024,15 to 44,UK born,9.0,North East
2024,15 to 44,All places of birth,80.0,North East
2024,45 to 64,Non-UK born,15.0,North East
2024,45 to 64,UK born,6.0,North East
2024,45 to 64,All places of birth,21.0,North East
2024,65 and older,Non-UK born,2.0,North East
2024,65 and older,UK born,8.0,North East
2024,65 and older,All places of birth,10.0,North East
2001,0 to 14,Non-UK born,6.0,North West
2001,0 to 14,UK born,20.0,North West
2001,0 to 14,All places of birth,26.0,North West
2001,15 to 44,Non-UK born,195.0,North West
2001,15 to 44,UK born,129.0,North West
2001,15 to 44,All places of birth,324.0,North West
2001,45 to 64,Non-UK born,77.0,North West
2001,45 to 64,UK born,61.0,North West
2001,45 to 64,All places of birth,138.0,North West
2001,65 and older,Non-UK born,49.0,North West
2001,65 and older,UK born,88.0,North West
2001,65 and older,All places of birth,137.0,North West
2002,0 to 14,Non-UK born,12.0,North West
2002,0 to 14,UK born,19.0,North West
2002,0 to 14,All places of birth,31.0,North West
2002,15 to 44,Non-UK born,245.0,North West
2002,15 to 44,UK born,101.0,North West
2002,15 to 44,All places of birth,346.0,North West
2002,45 to 64,Non-UK born,55.0,North West
2002,45 to 64,UK born,73.0,North West
2002,45 to 64,All places of birth,128.0,North West
2002,65 and older,Non-UK born,40.0,North West
2002,65 and older,UK born,65.0,North West
2002,65 and older,All places of birth,105.0,North West
2003,0 to 14,Non-UK born,1.0,North West
2003,0 to 14,UK born,18.0,North West
2003,0 to 14,All places of birth,19.0,North West
2003,15 to 44,Non-UK born,225.0,North West
2003,15 to 44,UK born,79.0,North West
2003,15 to 44,All places of birth,304.0,North West
2003,45 to 64,Non-UK born,67.0,North West
2003,45 to 64,UK born,65.0,North West
2003,45 to 64,All places of birth,132.0,North West
2003,65 and older,Non-UK born,37.0,North West
2003,65 and older,UK born,73.0,North West
2003,65 and older,All places of birth,110.0,North West
2004,0 to 14,Non-UK born,8.0,North West
2004,0 to 14,UK born,15.0,North West
2004,0 to 14,All places of birth,23.0,North West
2004,15 to 44,Non-UK born,228.0,North West
2004,15 to 44,UK born,79.0,North West
2004,15 to 44,All places of birth,307.0,North West
2004,45 to 64,Non-UK born,80.0,North West
2004,45 to 64,UK born,54.0,North West
2004,45 to 64,All places of birth,134.0,North West
2004,65 and older,Non-UK born,42.0,North West
2004,65 and older,UK born,50.0,North West
2004,65 and older,All places of birth,92.0,North West
2005,0 to 14,Non-UK born,14.0,North West
2005,0 to 14,UK born,22.0,North West
2005,0 to 14,All places of birth,36.0,North West
2005,15 to 44,Non-UK born,318.0,North West
2005,15 to 44,UK born,114.0,North West
2005,15 to 44,All places of birth,432.0,North West
2005,45 to 64,Non-UK born,77.0,North West
2005,45 to 64,UK born,58.0,North West
2005,45 to 64,All places of birth,135.0,North West
2005,65 and older,Non-UK born,59.0,North West
2005,65 and older,UK born,49.0,North West
2005,65 and older,All places of birth,108.0,North West
2006,0 to 14,Non-UK born,9.0,North West
2006,0 to 14,UK born,24.0,North West
2006,0 to 14,All places of birth,33.0,North West
2006,15 to 44,Non-UK born,278.0,North West
2006,15 to 44,UK born,115.0,North West
2006,15 to 44,All places of birth,393.0,North West
2006,45 to 64,Non-UK born,90.0,North West
2006,45 to 64,UK born,44.0,North West
2006,45 to 64,All places of birth,134.0,North West
2006,65 and older,Non-UK born,50.0,North West
2006,65 and older,UK born,47.0,North West
2006,65 and older,All places of birth,97.0,North West
2007,0 to 14,Non-UK born,18.0,North West
2007,0 to 14,UK born,29.0,North West
2007,0 to 14,All places of birth,47.0,North West
2007,15 to 44,Non-UK born,301.0,North West
2007,15 to 44,UK born,122.0,North West
2007,15 to 44,All places of birth,423.0,North West
2007,45 to 64,Non-UK born,93.0,North West
2007,45 to 64,UK born,61.0,North West
2007,45 to 64,All places of birth,154.0,North West
2007,65 and older,Non-UK born,46.0,North West
2007,65 and older,UK born,40.0,North West
2007,65 and older,All places of birth,86.0,North West
2008,0 to 14,Non-UK born,17.0,North West
2008,0 to 14,UK born,33.0,North West
2008,0 to 14,All places of birth,50.0,North West
2008,15 to 44,Non-UK born,325.0,North West
2008,15 to 44,UK born,106.0,North West
2008,15 to 44,All places of birth,431.0,North West
2008,45 to 64,Non-UK born,92.0,North West
2008,45 to 64,UK born,51.0,North West
2008,45 to 64,All places of birth,143.0,North West
2008,65 and older,Non-UK born,40.0,North West
2008,65 and older,UK born,41.0,North West
2008,65 and older,All places of birth,81.0,North West
2009,0 to 14,Non-UK born,15.0,North West
2009,0 to 14,UK born,34.0,North West
2009,0 to 14,All places of birth,49.0,North West
2009,15 to 44,Non-UK born,317.0,North West
2009,15 to 44,UK born,104.0,North West
2009,15 to 44,All places of birth,421.0,North West
2009,45 to 64,Non-UK born,112.0,North West
2009,45 to 64,UK born,69.0,North West
2009,45 to 64,All places of birth,181.0,North West
2009,65 and older,Non-UK born,50.0,North West
2009,65 and older,UK born,48.0,North West
