utla,year,population,pct_age_65plus,pct_age_15_44,intl_in_per_1000,hiv_prev,diabetes_prev,tb_count,qty_anti_tnf,qty_antituberculosis,qty_calcineurin_antiproliferative,qty_jak_inhibitor,qty_other_biologic,qty_systemic_corticosteroid,cost_anti_tnf,cost_antituberculosis,cost_calcineurin_antiproliferative,cost_jak_inhibitor,cost_other_biologic,cost_systemic_corticosteroid,pct_non_uk_born,rate_antituberculosis,costrate_antituberculosis,rate_anti_tnf,costrate_anti_tnf,rate_other_biologic,costrate_other_biologic,rate_jak_inhibitor,costrate_jak_inhibitor,rate_systemic_corticosteroid,costrate_systemic_corticosteroid,rate_calcineurin_antiproliferative,costrate_calcineurin_antiproliferative
E06000001,2011,92088,17.035878724698115,37.66071583702546,,0.499805629,,6,,,,,,,,,,,,,3.964996263524412,,,,,,,,,,,,
E06000001,2012,92344,17.51386121458893,37.25959455947327,1.55938664125444,0.557040989,6.01892787519252,5,,,,,,,,,,,,,3.964996263524412,,,,,,,,,,,,
E06000001,2013,92465,17.931109068296113,36.75877359000703,1.535716216946953,0.557465374,6.16733426308307,6,,,,,,,,,,,,,3.964996263524412,,,,,,,,,,,,
E06000001,2014,92358,18.429372658567747,36.31629095476299,1.7648714783776176,0.522836745,6.30165342483499,3,,,,,,,,,,,,,3.964996263524412,,,,,,,,,,,,
E06000001,2015,92125,18.629036635006784,35.96417910447761,1.3242876526458616,0.562239945,6.49360763190343,2,,,,,,,,,,,,,3.964996263524412,,,,,,,,,,,,
E06000001,2016,92260,18.753522653370908,35.59505744634728,1.7342293518317795,0.59975636,6.69988710242535,5,,,,,,,,,,,,,3.964996263524412,,,,,,,,,,,,
E06000001,2017,92306,18.96301432192924,35.19381188655125,1.700864515849457,0.603716612,6.86987347012705,2,,,,,,,,,,,,,3.964996263524412,,,,,,,,,,,,
E06000001,2018,92288,19.23868758668516,34.79000520110957,1.7553744798890432,0.814471066,7.07818718044483,4,,,,,,,,,,,,,3.964996263524412,,,,,,,,,,,,
E06000001,2019,92401,19.43485460114068,34.70741658640058,1.7965173537082932,0.875073731,7.27660887905756,1,344980.48842053587,2842.240659140875,17786404.80882903,61419.580670148236,309616.2259650635,1425568.8033861986,1457968.8786248385,5802.922283474183,101469.6508440361,252678.2399516459,521561.30943314376,45236.67149180167,3.964996263524412,30.75984739495108,62.80150954507184,3733.5146634834673,15778.713202506884,3350.7886923849687,5644.541827828094,664.7068827193237,2734.5833914313253,15428.066832460672,489.56906842784895,192491.47529603608,1098.1445097351339
E06000001,2020,92202,19.611288258389187,34.83655452159389,1.854623543957832,0.799527884,7.57260878489327,5,391751.6003054972,2949.4233272921474,19737843.253149696,75257.7669153501,311808.79007363156,1139080.8132191834,2017718.6561895206,8847.346590421677,128789.68982094918,375745.72724955453,761096.0457351538,40186.208295398494,3.964996263524412,31.988713122189836,95.95612449211163,4248.84059245458,21883.675583930075,3381.800720956504,8254.658746395457,816.2270548941466,4075.2448672431674,12354.187688110705,435.84963770198584,214071.74739322028,1396.820999771688
E06000001,2021,92575,19.806643262219826,35.01701323251418,1.8471509586821493,0.972497761,7.92330556583194,3,443771.72374231654,2876.200664360084,22580020.30973442,104618.22599265495,389361.4574463278,1298623.5751445387,2194617.551444503,8979.938132721905,133804.23701526248,497442.21996612754,967874.1878458967,43979.53793766693,3.964996263524412,31.068870260438388,97.00176216820853,4793.645409044738,23706.37376661629,4205.902861964113,10455.027683995644,1130.0915581167158,5373.396921049177,14027.79989354079,475.0692728886517,243910.5623519786,1445.3603782366997
E06000001,2022,94058,19.940887537476875,35.46109847115609,12.38597461140998,1.020801187,8.38418880251196,1,465730.2428407538,2859.717743729883,25279458.200607926,184493.1421751319,346690.99634288123,1405576.8187692964,2276241.8304082956,9503.26799738675,138460.76681263593,572606.9190119898,982766.1888167731,45321.384892887974,3.964996263524412,30.40376941599739,101.03625419833243,4951.521857159984,24200.40645567943,3685.927792881852,10448.512500975708,1961.482725287928,6087.806661974418,14943.724284689197,481.84508380879856,268764.57292955334,1472.0785771825463
E06000001,2023,95717,19.95361325574349,36.08449909629429,10.562387036785523,1.045866013,8.6773652454748,5,544118.5253513266,3208.45925314947,26526851.49783007,263412.00401565724,368073.47812470235,1487873.329796735,2626123.360596394,11480.99817991525,154293.94503699633,641745.5477301336,1144593.879395271,43828.32041126961,3.964996263524412,33.52026550298766,119.94732576151833,5684.659207364696,27436.331692347172,3845.4347516606495,11958.10440564655,2751.9876721549695,6704.614099168733,15544.504422377791,457.8948401148136,277138.35053156776,1611.9805785492267
E06000001,2024,97868,20.123022847100177,36.51142355008788,11.208975354559202,1.030567408,9.049566295,3,576799.9983649696,4071.359012244408,29060722.355676215,333515.456197787,444843.37196474423,1662437.4258583956,2781799.23395706,16792.15564613334,153759.18849054203,771488.2237226084,1356950.8564443882,44016.29598273395,3.964996263524412,41.600513060902514,171.57963426383844,5893.65265832519,28423.991845721383,4545.340376473865,13865.112768671968,3407.809050943996,7882.94666001766,16986.527014533818,449.7516653322225,296937.9404470942,1571.087469760719
E06000002,2011,138368,15.057672294172065,40.96684204440333,,1.456925154,,18,,,,,,,,,,,,,12.288612519974984,,,,,,,,,,,,
E06000002,2012,138472,15.38939280143278,40.65731700271535,5.950661505575134,1.489407301,5.90844118971628,24,,,,,,,,,,,,,12.288612519974984,,,,,,,,,,,,
E06000002,2013,138588,15.626894103385574,40.30652004502554,6.75383150056282,1.387178183,6.05655427982874,14,,,,,,,,,,,,,12.288612519974984,,,,,,,,,,,,
E06000002,2014,139030,15.826799971229232,40.01798173056175,7.868805293821477,1.41990757,6.17588497685717,14,,,,,,,,,,,,,12.288612519974984,,,,,,,,,,,,
E06000002,2015,139602,15.90378361341528,39.64771278348448,8.524233177175113,1.448138595,6.33445405059238,13,,,,,,,,,,,,,12.288612519974984,,,,,,,,,,,,
E06000002,2016,140649,16.026420379810734,39.41798377521347,10.956352338089856,1.213694334,6.61411543187222,14,,,,,,,,,,,,,12.288612519974984,,,,,,,,,,,,
E06000002,2017,141213,16.230800280427438,39.05731058755214,7.251457018829711,1.342119575,6.85966415896899,19,,,,,,,,,,,,,12.288612519974984,,,,,,,,,,,,
E06000002,2018,141057,16.447251820186167,38.80417136334957,12.05895489057615,1.560880423,7.29953481037609,13,,,,,,,,,,,,,12.288612519974984,,,,,,,,,,,,
E06000002,2019,142134,16.64485626240027,38.87950806984958,17.005079713509787,1.555000544,7.46560660976655,13,586577.600763901,7352.612577647856,43528474.00213391,81308.92673326947,810897.738004643,2171007.2126994263,2831570.6930927215,13676.311201037886,269053.32031653234,308980.68978044385,1655678.8942666326,73248.58321275927,12.288612519974984,51.73014604280366,96.22125037667192,4126.933743959228,19921.839201687995,5705.163704705721,11648.718070740517,572.0582459740068,2173.868953103718,15274.369346528109,515.3487780035689,306249.55325350666,1892.955382361239
E06000002,2020,142459,16.762015737861418,38.99507928597,22.813581451505343,1.299592972,7.58310356578581,14,744415.1411124791,7684.887274540263,48763923.53313549,103508.36238699932,807368.6172706235,1704170.1683628212,3878495.4264037292,21740.63440685159,392002.8850461353,479674.72734009015,2401626.0205011,70137.90588761949,12.288612519974984,53.94455439488038,152.6097642609564,5225.469370924119,27225.34502140075,5667.375295843881,16858.366410694307,726.5835249931512,3367.107219200543,11962.530751744862,492.33748578622266,342301.45889789687,2751.689152992337
E06000002,2021,143943,16.9310074126564,39.430885836754825,25.16968522262285,1.356884956,7.80267636780811,10,837744.1611615136,5699.284355645945,50872502.22061474,106337.84893108856,945269.7658758692,2012625.013063495,4310493.965272231,17949.071746485974,384957.56604817085,494187.63536725467,2809593.8949146075,77790.27616679763,12.288612519974984,39.594036220211784,124.6956902835565,5819.971524572321,29945.83943138764,6566.972800871658,19518.794904334405,738.7497060022965,3433.2175608904545,13982.097170848843,540.4241690585693,353421.16129728255,2674.375037675822
E06000002,2022,149095,16.704785539421174,41.031557060934304,53.62352862269023,1.567507267,8.05889534238467,14,886462.6456124095,4683.154491172642,53221914.86990635,171670.98900797745,926322.2269787294,2112904.9384716116,4573798.580245134,14422.983357691735,374460.36315421865,539107.157768402,2951018.0260503804,80509.27567847546,12.288612519974984,31.410540200359787,96.73686815581833,5945.622895552564,30677.075557497803,6212.966410535091,19792.870492306116,1151.4201616954122,3615.8634278037625,14171.534514716199,539.9864226062273,356966.4634622646,2511.5554723781393
E06000002,2023,153186,16.666666666666668,42.21991565808886,54.8222422414581,1.580203772,8.35244886442752,13,968737.2857336843,4814.197505915025,51343081.33998132,307183.57328967244,991047.0128278264,2377145.62593792,5050168.010046141,16986.413839877725,386889.1701688105,663675.0544547627,3251069.018009032,86063.44233308255,12.288612519974984,31.427137636043927,110.88750825713659,6323.928333749065,32967.55584744129,6469.566493203207,21223.016581208674,2005.2979599289258,4332.478519282197,15518.034454440485,561.8231583374627,335168.2356088763,2525.6170287677105
E06000002,2024,154700,16.8409825468649,42.41887524240465,49.67679379444085,1.709757686,9.07947945,18,996595.401129104,6340.485292091987,53206167.3403718,691461.3220989287,1091505.970375259,2601819.66540677,5150870.978408948,28585.250336590834,392349.29523662536,974923.4753880433,3498144.6588413427,82556.97193708412,12.288612519974984,40.985683853212585,184.7786059249569,6442.1163615326695,33295.869285125715,7055.630060602837,22612.441233622125,4469.691804130114,6302.026343814113,16818.485232105817,533.6585128447584,343931.26916853135,2536.1945393447018
E06000003,2011,135164,19.550324050782752,35.854221538279425,,0.338228971,,4,,,,,,,,,,,,,2.915003478961442,,,,,,,,,,,,
E06000003,2012,134951,20.276989425791584,35.199442760705736,1.207845810701662,0.340782493,6.51420335334148,3,,,,,,,,,,,,,2.915003478961442,,,,,,,,,,,,
E06000003,2013,134838,20.727094735905307,34.72759904477966,1.023450362657411,0.369320065,6.69683245004312,4,,,,,,,,,,,,,2.915003478961442,,,,,,,,,,,,
E06000003,2014,135106,21.28328867703877,34.22793954376564,1.3396888369132385,0.371569604,6.88518459665801,6,,,,,,,,,,,,,2.915003478961442,,,,,,,,,,,,
E06000003,2015,135370,21.53505207948585,33.78887493536234,1.3223018394031174,0.372846156,7.06125183320961,2,,,,,,,,,,,,,2.915003478961442,,,,,,,,,,,,
E06000003,2016,135344,21.82364936753753,33.2825984158884,1.4851046222957798,0.347928494,7.40263277349069,4,,,,,,,,,,,,,2.915003478961442,,,,,,,,,,,,
E06000003,2017,135584,22.105853198017464,32.70887420344584,1.3497167807410904,0.403323382,7.66101389139455,3,,,,,,,,,,,,,2.915003478961442,,,,,,,,,,,,
E06000003,2018,136276,22.40746719891984,32.40335789133817,1.577680589392116,0.512792826,8.1873179475689,2,,,,,,,,,,,,,2.915003478961442,,,,,,,,,,,,
E06000003,2019,136699,22.78729178706501,32.29065318692895,1.6240060278421935,0.623297811,8.48525469168901,2,541315.6403232395,6806.2815393812725,40235216.9294537,74828.25243811721,750314.3619392564,2000668.4748086429,2615936.2793751946,12649.984716648298,248874.26466224232,284148.16583099525,1534131.359282068,67541.78049475477,2.915003478961442,49.790280392550585,92.53897041418224,3959.909292118007,19136.469757461244,5488.80651606271,11222.696283674848,547.3942928486472,2078.6411446389166,14635.575057671547,494.0912552012434,294334.3911034733,1820.6004774156527
E06000003,2020,136571,23.04003046034663,32.1957077271163,1.274062575510174,0.531806111,8.64706985717731,3,687732.3994298042,7115.467826665373,45079403.18238331,95318.04804507174,746947.4513250737,1569874.705839487,3583586.605558591,20114.595060219446,362919.8768319269,441360.3103522404,2225344.003666193,64722.94911687673,2.915003478961442,52.10086934023602,147.2830619986633,5035.713287812231,26239.73321978012,5469.2976644022065,16294.410992569383,697.9376884190036,3231.7278950307195,11494.934545690425,473.9142945198961,330080.34782188974,2657.3714539098846
E06000003,2021,136605,23.37908568500421,32.250649683393725,1.1566194502397424,0.537960708,8.91302220917719,0,773961.3550532176,5264.5804174123305,46993339.5089553,97674.88938999319,874338.2157266418,1854776.0100338142,3983673.7656537015,16567.188284029206,356270.0206654292,453135.2346526232,2602173.267036016,71789.93848958662,2.915003478961442,38.538709545128874,121.27805193096304,5665.68833536999,29161.990890916888,6400.484724033833,19048.88742751741,715.0169422055795,3317.120417646669,13577.658285083373,525.5293619529785,344008.9272644142,2608.030604043989
E06000003,2022,137087,23.613471736926183,32.374331628819654,6.142084953350792,0.664249539,9.34780491691529,1,818831.7983741838,4318.325416178809,49133555.477068216,157314.5182479013,857205.6259655466,1946313.0993120295,4226691.060631183,13285.933808586406,346382.8934880901,493794.706969836,2732660.3894248414,74300.05938492756,2.915003478961442,31.500619432760285,96.9160737968327,5973.081316056109,30832.18000708443,6253.004485950868,19933.767530289828,1147.5524174276284,3602.053491358305,14197.648933246986,541.9920151796127,358411.4866987257,2526.7377175668744
E06000003,2023,137810,23.80741600754662,32.665989405703506,5.993759523982295,0.690903544,9.76277211692449,3,894414.4556257391,4433.80715916013,47358454.505640365,282940.51456428255,917241.7909796436,2191412.7514533233,4666296.681575832,15629.123843676694,357682.5435242191,609203.8048219185,3010085.85959115,79507.28237906311,2.915003478961442,32.17333400449989,113.41066572583044,6490.199953746021,33860.36341031733,6655.843487262489,21842.28909071294,2053.1203436926385,4420.606667309473,15901.696186440196,576.9340568831225,343650.3483465668,2595.4759707148905
E06000003,2024,138788,24.183647001181654,32.76075741418566,5.692134766694527,0.755546391,10.45154079,3,919682.7531612291,5845.0605446160735,49049004.168211594,639812.342855744,1009486.0360446046,2397934.223248339,4757008.0129863145,26366.970960881426,362736.7429496397,896900.0548456453,3236604.3663189,76240.6428124493,2.915003478961442,42.1150282777767,189.9801925302002,6626.529333668826,34275.35531159981,7273.582990205238,23320.4914424799,4609.997570796783,6462.374663844463,17277.67691189684,549.3316627694707,353409.54670585063,2613.6030705078224
E06000004,2011,191824,15.744640920844107,39.29331053465677,,0.955002069,,11,,,,,,,,,,,,,6.232004964849269,,,,,,,,,,,,
E06000004,2012,192837,16.274366433827534,38.91680538485871,3.37590815040682,1.000017405,5.72392991437696,11,,,,,,,,,,,,,6.232004964849269,,,,,,,,,,,,
E06000004,2013,193923,16.649907437488075,38.43845237542736,4.073781861873012,1.045423627,5.9550209678811,10,,,,,,,,,,,,,6.232004964849269,,,,,,,,,,,,
E06000004,2014,195113,16.971191053389575,38.14097471721515,4.130939506849876,1.151209593,6.14292450181872,8,,,,,,,,,,,,,6.232004964849269,,,,,,,,,,,,
E06000004,2015,195790,17.222534348025945,37.70212983298432,4.101333060932632,1.145355225,6.34945693356908,9,,,,,,,,,,,,,6.232004964849269,,,,,,,,,,,,
E06000004,2016,196412,17.47856546443191,37.29812842392522,4.256359081929821,0.955327511,6.53785439161457,15,,,,,,,,,,,,,6.232004964849269,,,,,,,,,,,,
E06000004,2017,197046,17.72327273834536,36.88529581925033,4.110715264456015,1.041703463,6.7686760816408,7,,,,,,,,,,,,,6.232004964849269,,,,,,,,,,,,
E06000004,2018,197509,18.007280680880363,36.56187819289248,4.004880790242471,1.294693589,6.92178666832329,7,,,,,,,,,,,,,6.232004964849269,,,,,,,,,,,,
E06000004,2019,196860,18.436960276338517,36.0515086863761,2.677029360967185,1.269739032,7.03968553187018,7,743105.1254507885,6400.7925021372275,38930958.84761532,130916.17115437794,694449.2039599324,3029642.834741646,3169671.0590704707,12844.760442155217,225425.8894548708,531560.3549724658,1195136.4307515654,95763.60086233629,6.232004964849269,32.51443920622385,65.24819893404052,3774.7898275464213,16101.14324428767,3527.629807781837,6070.996803573938,665.0216964054554,2700.194833752239,15389.834576560226,486.4553533594244,197759.6202764163,1145.1076371780493
E06000004,2020,196388,18.736379004827175,35.788337372955574,2.8871417805568567,0.962758362,7.09858668999593,4,845142.7251424139,6638.828605853205,42713930.441358,159497.90523353618,695698.9707977085,2397804.03817085,4371554.090961349,19679.769935756547,288789.206520493,788605.7878293328,1752835.8770117008,85355.94197393398,6.232004964849269,33.80465510037887,100.20861730735355,4303.433637199899,22259.782119891996,3542.4718964382164,8925.371596083776,812.1570830882547,4015.5497679559476,12209.524197867742,434.62911162562875,217497.65994540398,1470.5033226087796
E06000004,2021,197032,19.04157700272037,35.889094157294245,2.9690608632100366,1.057541132,7.3613154056017,6,956822.1921428844,6290.951669997393,48077349.52275183,216338.4949547255,860798.4395884438,2734992.994070123,4756453.663637166,19619.57297052996,294194.9170612086,1028558.4959666587,2201385.8824686655,93428.90822269286,6.232004964849269,31.928578454248008,99.57556625588717,4856.176621781661,24140.513539106167,4368.825569391996,11172.732766599667,1097.9865958561325,5220.261155379119,13880.95839290127,474.18139298536715,244007.82371773027,1493.1326741910377
E06000004,2022,200573,19.20248488081646,36.45555483539659,16.163691025212767,1.256919742,7.68970578464475,7,1005527.9098197344,6137.315852662771,53800005.11291869,383510.1742579835,770631.9342450129,2953627.687144131,4942267.608037275,20237.276120512906,302087.66433973814,1185492.9318806569,2237272.8974809246,96441.19215823585,6.232004964849269,30.598913376490213,100.897309809959,5013.276511892102,24640.74231345832,3842.1519060143337,11154.407111031518,1912.0727827672893,5910.530988122314,14725.948593001705,480.8283874611032,268231.54219620134,1506.1232785057716
E06000004,2023,203361,19.386706398965387,36.934318773019406,15.361844208083165,1.189605474,7.96704599336178,15,1169558.069012913,6839.874362227886,56036974.346579954,554157.6680263854,817720.1882673693,3148721.6153886095,5681772.424097087,24222.572178048533,334179.0625574741,1336644.013285285,2582950.945271575,94049.75878602288,6.232004964849269,33.63414992170517,119.11119722094469,5751.142397081609,27939.341486799767,4021.0275729730347,12701.30922483453,2724.994802476312,6572.7647547233,15483.409382273934,462.47687012761975,275554.1836762209,1643.2799925131865
E06000004,2024,206018,19.63129435292062,37.15743284567368,14.479317341203195,1.395853758,8.169772017,12,1234448.326303859,8669.09631757376,61035528.20439022,738790.0831791968,974872.8602256632,3520019.058312944,5995086.57446087,35551.3256222772,331588.9252026812,1640995.0042310397,3018225.2793318867,94133.15055317129,6.232004964849269,42.079314999532855,172.56417217076762,5991.94403549136,29099.819309287876,4731.979051469596,14650.298902677858,3586.0462832334883,7965.299169155314,17085.97820730686,456.91711672364204,296263.0848003098,1609.5143395367454
E06000005,2011,105584,17.587892104864373,37.70741779057433,,0.87887764,,0,,,,,,,,,,,,,7.8214570617590855,,,,,,,,,,,,
E06000005,2012,105557,18.16269882622659,37.30875261706945,2.823119262578512,0.900193155,6.68420412098971,9,,,,,,,,,,,,,7.8214570617590855,,,,,,,,,,,,
E06000005,2013,105591,18.524306048810978,36.91602504001288,3.011620308549024,0.836929917,6.78637725079454,5,,,,,,,,,,,,,7.8214570617590855,,,,,,,,,,,,
