utla,year,population,pct_age_65plus,pct_age_15_44,intl_in_per_1000,hiv_prev,diabetes_prev,tb_count,ddd_antiproliferative,ddd_antituberculosis_active,ddd_antituberculosis_mdr,ddd_antituberculosis_rifamycin_isoniazid,ddd_il6_abatacept,ddd_jak_inhibitor_rheum,ddd_low_tb_risk_biologic,ddd_negative_control_levetiracetam,ddd_rituximab,ddd_ruxolitinib,ddd_systemic_glucocorticoid,ddd_tnf_inhibitor,ddd_transplant_cni_mtor,pred_mg_antiproliferative,pred_mg_antituberculosis_active,pred_mg_antituberculosis_mdr,pred_mg_antituberculosis_rifamycin_isoniazid,pred_mg_il6_abatacept,pred_mg_jak_inhibitor_rheum,pred_mg_low_tb_risk_biologic,pred_mg_negative_control_levetiracetam,pred_mg_rituximab,pred_mg_ruxolitinib,pred_mg_systemic_glucocorticoid,pred_mg_tnf_inhibitor,pred_mg_transplant_cni_mtor,pct_non_uk_born,principal_trust,rate_antituberculosis_active,rate_antituberculosis_rifamycin_isoniazid,rate_tnf_inhibitor,rate_il6_abatacept,rate_jak_inhibitor_rheum,rate_rituximab,rate_transplant_cni_mtor,rate_antiproliferative,rate_systemic_glucocorticoid,rate_low_tb_risk_biologic,rate_negative_control_levetiracetam,rate_glucocorticoid_pred_mg
E07000244,2023,248519,28.625980307340686,29.47420519155477,4.872866863298179,1.019636273,8.66699325323878,13,93569.45672077982,3763.263846606607,54.62209380486025,11635.652181381556,15223.677931806207,14658.11664710497,82522.98548525857,13385.283408888925,87727.52880876431,3832.789262626596,452687.0879482836,289422.918614632,39497.97187928135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4769474.788125269,0.0,0.0,5.967431899182751,RDE,0.04148701672110081,0.1282738910388049,3.1906594789685547,0.16782904591794898,0.16159417867727838,0.9671268353591257,0.4354339973485818,1.031529484455281,4.990518218400143,0.9097508487982378,0.14756219580563945,19191.590132445686
E07000244,2024,249581,29.08194133367524,29.493831661865286,3.9866816784931545,0.987908304,9.173426033,10,96657.5694469927,4074.516539617211,74.13706495851842,10610.789780928271,16992.413312125846,22547.928694682865,95704.17530820254,13708.112734523484,91044.00718247541,4273.176503656212,481399.25085231295,326212.32639372704,40209.55259441729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5068027.601062448,0.0,0.0,5.967431899182751,RDE,0.044727198835848456,0.11647784460375613,3.580931245081574,0.1865308537890419,0.24751542428598403,0.9994175683099716,0.44139240484221187,1.0610393369642888,5.28446499184483,1.0505736415130666,0.1504780942670709,20306.143500757058
E07000245,2011,171481,18.05681095864848,39.51341548043224,,0.641237617,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,17.040271551029708,RGR,,,,,,,,,,,,
E07000245,2012,171820,18.835991153532767,39.22302409498312,6.984053078803399,0.754944861,5.67108548032122,10,,,,,,,,,,,,,,,,,,,,,,,,,,,17.040271551029708,RGR,,,,,,,,,,,,
E07000245,2013,172138,19.385609220509128,38.85371039514808,6.965341760680384,0.961129904,5.93340019421785,11,,,,,,,,,,,,,,,,,,,,,,,,,,,17.040271551029708,RGR,,,,,,,,,,,,
E07000245,2014,174735,19.608550090136493,38.6636907316794,7.102183306149311,0.917138517,6.12612148860462,9,,,,,,,,,,,,,,,,,,,,,,,,,,,17.040271551029708,RGR,,,,,,,,,,,,
E07000245,2015,176177,19.866951985787026,38.12983533605408,7.395971097248789,0.97569716,6.3400975095533,6,,,,,,,,,,,,,,,,,,,,,,,,,,,17.040271551029708,RGR,,,,,,,,,,,,
E07000245,2016,176416,20.203382913114456,37.49603210593144,8.13418284055868,1.016055703,6.56590990521481,9,,,,,,,,,,,,,,,,,,,,,,,,,,,17.040271551029708,RGR,,,,,,,,,,,,
E07000245,2017,178991,20.16302495656206,37.52479174930584,6.564575872529904,0.957233608,6.63532885280292,5,,,,,,,,,,,,,,,,,,,,,,,,,,,17.040271551029708,RGR,,,,,,,,,,,,
E07000245,2018,179189,20.368437794730703,37.35273928645174,6.825195743042262,1.037313104,6.91808560481102,5,,,,,,,,,,,,,,,,,,,,,,,,,,,17.040271551029708,RGR,,,,,,,,,,,,
E07000245,2019,179703,20.57672938125685,37.08174042726053,6.388318503308237,1.088050723,7.53518870946468,6,169174.76536722117,2399.051767384754,85.77931471890358,7729.660201920218,10503.56348646825,7436.128048666519,30430.074421967358,8873.180083252633,79757.4554541165,478.4162499963327,316275.5263094462,134595.0022214624,57369.87154642705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3363792.8083648314,0.0,0.0,17.040271551029708,RGR,0.03657559733659098,0.11784528493201328,2.0520159971938847,0.16013581445104746,0.11337013604664621,1.2159706659689629,0.8746527896817733,2.5792140802067887,4.821891071705852,0.46393252705575094,0.13527922416359342,18718.623553111698
E07000245,2020,178236,20.82800332143899,36.92912767342175,4.830673937924999,1.157192111,7.86493066581984,7,128503.36031932409,2223.165658619429,97.56350445255377,6455.88050245247,11973.212474576412,10136.28446894825,34803.274910191016,8957.47542122046,63511.098933885136,610.182531352309,274908.6389968838,156411.91276477612,63586.21408457934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953850.611113872,0.0,0.0,17.040271551029708,RGR,0.03417303360788741,0.09923552953575895,2.4042605780911095,0.18404431118379314,0.1558082675816341,0.9762506495756609,0.9774052700418338,1.9752687497186905,4.225713960233174,0.5349729465995219,0.13768839376606817,16572.69356983927
E07000245,2021,180813,20.8043669426424,37.32696211002528,4.363624296925552,1.079756021,7.84929356357928,5,126480.19360587715,1644.3678666399446,53.89011902869343,6591.023842732218,13871.092639190827,16362.752362188421,48144.708550449526,8293.336249171261,57310.79684459545,777.2263965345513,301601.93116731313,170321.60600249047,63870.54454694452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3207068.420700997,0.0,0.0,17.040271551029708,RGR,0.02491589345262322,0.09986892297085588,2.5807576722532373,0.21017843590908655,0.2479327179270496,0.868388234065111,0.967783252748973,1.9164610861623124,4.569951611512251,0.7295012587431323,0.12566280729710624,17736.934958775073
E07000245,2022,182319,20.930347358201832,37.194697206544575,7.541726314865702,1.185432792,7.93052278200793,6,124572.06168034617,2094.25700122404,31.344729500697166,6594.934689458339,12412.055137689562,19876.13803219975,58569.9924727555,10246.658739511013,70479.0811274396,585.9941869626161,332731.1461819193,192950.8353140377,68878.78762907312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3559432.3234302793,0.0,0.0,17.040271551029708,RGR,0.031470611479398405,0.0991027496733422,2.899491690487066,0.18651720618376572,0.29868073371924053,1.0590962705581388,1.0350484985269777,1.8719569527705906,4.99998453984679,0.8801371925146027,0.15397757580118324,19523.10139607106
E07000245,2023,186052,20.943069679444456,37.207877367617655,9.330724743620063,1.148897052,8.09539260220636,5,128854.34480301439,1716.1571142217404,196.31706036308898,6446.635983459324,12153.786004957847,24284.82648654762,69802.59604888876,11675.520312254821,72470.19473259026,770.7029653506036,329568.2872562354,207366.76502400596,75468.08754062894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3533820.212373902,0.0,0.0,17.040271551029708,RGR,0.02527143117481282,0.09493053766172492,3.0535985818665803,0.17897170602412002,0.3576084707287257,1.0671665917024562,1.111312341028078,1.8974566368544248,4.853088461293858,1.0278846192195608,0.17192896009121061,18993.72332667159
E07000245,2024,188197,21.080038470326308,37.25829848509806,8.177601130730032,1.33328259,8.232575085,6,122635.44259831391,2376.4719421789237,348.89655037674913,7062.498857698992,14265.044546067069,35501.67264081725,75138.54807318203,8818.904253921708,82838.61695725928,1781.282830824917,337548.97150834097,230072.1175931243,75060.13816728255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3599548.284439826,0.0,0.0,17.040271551029708,RGR,0.03459609894614109,0.1028141359261909,3.3493337765654383,0.20766703945780904,0.5168246919461216,1.2059443824896001,1.0927071853267505,1.7852968642857396,4.913955603769338,1.0938486576137614,0.12838345732181555,19126.491306661774
E08000001,2011,277296,15.450998211297676,40.0005770007501,,1.57234621,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91303422341004,RMC,,,,,,,,,,,,
E08000001,2012,279738,15.875926760039752,39.57774774968006,5.290664836382615,1.590471745,7.51481774894733,47,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91303422341004,RMC,,,,,,,,,,,,
E08000001,2013,281629,16.23341346239201,39.14937737235867,6.114427136409957,1.814617634,7.66939956608274,58,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91303422341004,RMC,,,,,,,,,,,,
E08000001,2014,283212,16.543084332584776,38.75294832139881,6.56045647783286,1.757875443,7.90190428058656,56,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91303422341004,RMC,,,,,,,,,,,,
E08000001,2015,284972,16.669006077790097,38.27112839156128,6.646267001670339,1.843413353,7.99778765732332,43,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91303422341004,RMC,,,,,,,,,,,,
E08000001,2016,287253,16.743776392239592,37.88646245644084,7.258409833839855,1.87032795,8.10092073022855,50,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91303422341004,RMC,,,,,,,,,,,,
E08000001,2017,289684,16.81832617610914,37.49603015699866,7.045608318029301,2.02696538,8.17307892122839,44,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91303422341004,RMC,,,,,,,,,,,,
E08000001,2018,291594,16.952680782183446,37.33958860607557,7.699061023203495,2.016350746,8.3597744422707,34,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91303422341004,RMC,,,,,,,,,,,,
