utla,year,population,pct_age_65plus,pct_age_15_44,international_in,intl_in_per_1000,asylum_supported,asylum_per_1000,diabetes_prev,hiv_prev,area_name,tb_count,tb_denominator,items_total,items_antituberculosis,items_oral_glucocorticoids,items_oral_hydrocortisone,items_oral_dexamethasone,items_inhaled_corticosteroids,items_conventional_dmards,items_transplant_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,mg_pred_equivalent,adq_antituberculosis,adq_oral_glucocorticoids,adq_oral_hydrocortisone,adq_oral_dexamethasone,adq_inhaled_corticosteroids,adq_conventional_dmards,adq_transplant_immunosuppressants,adq_proton_pump_inhibitors,adq_statins,adq_metformin,adq_insulins,adq_fluoroquinolones,adq_all_antibacterials,adq_vitamin_d,adq_levothyroxine,rate_total_items,rate_antituberculosis,rate_oral_glucocorticoids,rate_oral_hydrocortisone,rate_oral_dexamethasone,rate_inhaled_corticosteroids,rate_conventional_dmards,rate_transplant_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine
E10000014,2019,1384378,21.51392177569999,34.021632819937906,7130.0,5.1503274394710115,15.5,0.011196363998850026,6.72189674349386,1.169152856,Hampshire,185.0,4136338.0,23495116.0,754.0,164893.0,10366.0,5352.0,456664.0,88511.0,9807.0,1337211.0,1362619.0,409790.0,167665.0,18813.0,662992.0,528680.0,663381.0,37167837.382,,,,,29936522.16671,,,61661638.18266,72724264.66013,15957464.39267,,230155.73377,8019471.93258,,18993708.275,16971.604576206788,0.5446489325892205,119.10980960402432,7.48783930400512,3.8659961368932474,329.86944317231274,63.93557250982029,7.084047853982077,965.9291031784671,984.2824719838079,296.0101937476614,121.11215289465738,13.589496510346162,478.9096619564888,381.88991734916334,479.19065457555666
E10000014,2020,1391311,21.679121346701063,34.038399753901174,5854.0,4.207542382687983,30.666666666666668,0.022041561280451795,6.79713083868846,1.170785785,Hampshire,177.0,4153866.0,23843562.0,689.0,148279.0,11082.0,4912.0,497403.0,90742.0,9993.0,1474194.0,1411243.0,421218.0,169913.0,17211.0,595961.0,559233.0,674687.0,33906238.791,,,,,31861074.0001,,,67591865.74964,76913966.32772,16435874.59378,,217263.00004,7175488.41543,,19235009.9,17137.478248932122,0.4952163822466724,106.57502168817754,7.965149416629352,3.5304831198775832,357.50669692110534,65.2205006644812,7.182434408985483,1059.5718714219897,1014.3260565035423,302.7489899813917,122.12438484278496,12.370347104277908,428.34492072584777,401.94679694187715,484.9289626833972
E10000014,2021,1406110,21.79480979439731,34.24440477629773,6223.0,4.425685045977911,180.25,0.12819053985819032,7.04952123112488,1.145271778,Hampshire,172.0,4181799.0,23928576.0,626.0,141548.0,11033.0,5048.0,473705.0,89352.0,9373.0,1516845.0,1427366.0,425384.0,169952.0,15573.0,588165.0,588721.0,667250.0,31723370.986,,,,,27384725.16663,,,69542603.30008,78848305.66207,16493616.69172,,195862.4337,6988250.58245,,18924066.75,17017.570460348055,0.44519987767671093,100.66637745268862,7.846470048573725,3.5900462979425507,336.89042820262995,63.54552631017488,6.665908072625897,1078.752729160592,1015.1168827474379,302.52540697384984,120.86678851583446,11.07523593459971,418.29230998997235,418.68772713372357,474.53613159710125
E10000014,2022,1417419,22.0987583770219,34.16145825616843,10772.0,7.5997288028451715,272.25,0.19207446774736334,7.27877242229221,1.185960054,Hampshire,144.0,4215374.0,24710315.0,572.0,151938.0,11702.0,5646.0,481915.0,89148.0,9060.0,1545234.0,1482771.0,435593.0,177467.0,14407.0,679986.0,630038.0,673353.0,33189324.533,,,,,24144347.16657,,,71113579.53308,83005024.99555,16826753.39263,,184100.30019,7768303.45631,,18961868.575,17433.317177207304,0.40355039688334926,107.19342692598308,8.255850951624044,3.983296400005926,339.99473691265604,62.894599268106326,6.39189964294256,1090.1744649958832,1046.1063383516096,307.3142098419733,125.20433266380654,10.164249244577645,479.73534995650544,444.496652013272,475.0557174695697
E10000014,2023,1432948,22.274011338862262,34.35393328997284,13830.0,9.65143187331292,548.0833333333334,0.3824865475462706,7.49355279900383,1.35647738,Hampshire,134.0,4257605.0,25444503.0,351.0,147821.0,12091.0,5145.0,484058.0,87735.0,9207.0,1581083.0,1602540.0,451446.0,184149.0,13753.0,681716.0,660245.0,684969.0,32339126.298,,,,,23125172.16652,,,72727430.66642,90677759.32976,17299418.62499,,173841.53367,7714007.64005,,19206440.5,17756.75251300117,0.24494957248972052,103.1586631196666,8.43784980334248,3.590500143759578,337.80569846219123,61.22692519198184,6.425215709153437,1103.3777917970506,1118.3518173722982,315.04702194357367,128.5105949413377,9.597696497011754,475.7437115652487,460.75991592158266,478.0138567484654
E10000014,2024,1445170,22.537971311333614,34.420587197353946,11775.0,8.147830359058105,260.0,0.1799096300089263,7.712230604,1.406611085,Hampshire,134.0,4298709.0,26400459.0,293.0,146520.0,12305.0,5366.0,494961.0,85955.0,9636.0,1611409.0,1763814.0,470407.0,194569.0,10606.0,662177.0,708337.0,700851.0,30991311.185,,,,,23248289.99999,,,73718297.02396,101248659.32996,17861187.55649,,140048.33328,7326548.18066,,19414962.925,18268.064656753188,0.20274431381775154,101.38599611118416,8.514569220230147,3.7130579793380707,342.49327068787755,59.47743172083561,6.667727672176976,1115.0307576271302,1220.4889390175551,325.5028820138807,134.63398769694913,7.3389289841333545,458.2000733477722,490.14095227551087,484.9609388514846
E10000014,2025,1451703,22.91708427963571,34.36515595820908,,,321.5,0.22146403224350986,,,Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000015,2011,1119824,15.658621354784323,39.88876823500836,,,,,,1.33095789,Hertfordshire,290.0,3324064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000015,2012,1131536,16.068688932565998,39.48111239942874,9192.0,8.123471104763789,,,5.05618125952672,1.396350265,Hertfordshire,286.0,3359001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000015,2013,1143681,16.285135452980334,39.17762033294249,9264.0,8.100160796585762,,,5.18084633733889,1.517122746,Hertfordshire,263.0,3395041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
