drug,model,term,irr_10pct,ci_low,ci_high,lower90,upper90,se_log_irr_10pct,p,n_obs,n_dropped_zero_exposure,n_areas,years,p_first_minus_last,corr_first_last,q_fdr,max_compatible_paf_pct,max_compatible_prevented_fraction_pct,max_compatible_paf_nc_shifted_pct
antituberculosis,primary (t-1),exposure_lag1,1.0006418849877128,0.9969897687768418,1.00430737942295,0.9975758157838521,1.0037173778165391,0.0018655357907125486,0.7308725879024058,1637,1,149,2014-2024,,,,3.7173778165391322,2.366808420003683,43.13320085666846
antituberculosis,FE only (t-1),exposure_lag1,1.002237299286356,0.9982889975689841,1.0062012168088594,0.9989224954353608,1.0055631029142313,0.0020139123094314233,0.2671365059484614,1638,1,149,2014-2024,,,,5.563102914231339,1.0660181701954359,62.27434356784561
antituberculosis,"distributed lag (t, t-1, t-2)",exposure,1.0000916832892546,0.9961337263501342,1.0040653664533965,0.996768768531381,1.003425675603766,0.0020231867820982036,0.9638568706314883,1634,4,149,2014-2024,0.7377296459022531,0.08774072736531313,,3.4256756037660514,3.1300909837555153,30.01931000926692
antituberculosis,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0000893936820618,0.9964983081763374,1.0036934203990293,0.9970745760528021,1.003113327104218,0.001835319787375866,0.961154201670315,1634,4,149,2014-2024,0.7377296459022531,0.08774072736531313,,3.113327104218075,2.842275343649435,0.0
antituberculosis,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0009420143868675,0.9975729265452036,1.0043224805975535,0.9981136212895212,1.0037784224109139,0.0017202012968050595,0.5841307961908232,1634,4,149,2014-2024,0.7377296459022531,0.08774072736531313,,3.7784224109138584,1.8514532897858278,48.06010076479112
antituberculosis,"lag and lead (t-1, t+1)",exposure_lag1,0.99950133820626,0.9957615622457519,1.0032551596217896,0.9963616525813088,1.0026509174534697,0.0019125812376968956,0.7942528008976326,1487,2,149,2014-2023,0.18344742266287184,0.06337739988782173,,2.650917453469679,3.510618906332542,10.277076500208695
antituberculosis,"lag and lead (t-1, t+1)",exposure_lag-1,1.0029223407222365,0.9993116328227117,1.0065460948138671,0.9998910472386943,1.0059628239472098,0.0018401444878356286,0.11278741633993722,1487,2,149,2014-2023,0.18344742266287184,0.06337739988782173,,5.96282394720981,0.10883418345761446,44.980391058532206
antituberculosis,"lag, same year and lead (t-1, t, t+1)",exposure_lag1,1.0001699011608027,0.9960016702672561,1.0043555759495764,0.9966703910659261,1.0036816987390982,0.0021307301801140083,0.9364506505826268,1486,3,149,2014-2023,0.18560604882400855,0.2384220603955661,,3.68169873909818,3.222318334910379,35.087812225878615
antituberculosis,"lag, same year and lead (t-1, t, t+1)",exposure,0.9985853284998825,0.9942042529195388,1.002985709794504,0.9949070558311783,1.0022772001170976,0.002243333932534437,0.5280028150341805,1486,3,149,2014-2023,0.18560604882400855,0.2384220603955661,,2.277200117097642,4.84613330523916,0.0
antituberculosis,"lag, same year and lead (t-1, t, t+1)",exposure_lag-1,1.0035963190514687,0.9995619987256692,1.0076469222496782,1.00020927618553,1.0069948315764568,0.0020550841753372733,0.080668091729539,1486,3,149,2014-2023,0.18560604882400855,0.2384220603955661,,6.994831576456745,0.0,72.2997122487447
antituberculosis,prior 3 years (t-3..t-1),exposure_prior3,1.0019959976550943,0.9969173233933774,1.007100544606202,0.9977317994085813,1.0062784206256226,0.00259257456126098,0.4418203929957938,1638,0,149,2014-2024,,,,6.278420625622555,2.217894299793778,44.89378973748144
antituberculosis,+ area trends (t-1),exposure_lag1,0.998781474597587,0.9951796234052365,1.0023963619612044,0.9957576150994625,1.0018145167784507,0.0018432467718680291,0.5083053944225676,1637,1,149,2014-2024,,,,1.8145167784506793,4.069731237044675,21.764550575030555
antituberculosis,population covariate (t-1),exposure_lag1,1.0008025536531935,0.9970708113957468,1.0045482627223419,0.9976696158847229,1.0039453296475707,0.0019059790063651167,0.6738261070024453,1637,1,149,2014-2024,,,,3.945329647570657,2.2773139526690933,45.102901134742986
