scenario,n,rejection_two_sided,power_correct_direction,median_irr_10pct,monte_carlo_se,null_empirical_sd,real_data_se
No effect,500,0.07,0.032,1.0012137343591638,0.007870959280799261,0.015808768932628534,0.021825794803356002
Published RR 4.9,300,0.07666666666666666,0.043333333333333335,1.004533061658071,0.011755219486899646,0.015808768932628534,0.021825794803356002
RR 25,300,0.20666666666666667,0.20333333333333334,1.0172076854282486,0.02323710315342605,0.015808768932628534,0.021825794803356002
RR 100,300,0.7833333333333333,0.7833333333333333,1.0460599848278378,0.02378530514289738,0.015808768932628534,0.021825794803356002
IRR 1.02 per 10%,300,0.21,0.21,1.0186518212619944,0.023515952032609692,0.015808768932628534,0.021825794803356002
IRR 1.05 per 10%,300,0.85,0.85,1.051508849160129,0.020615528128088305,0.015808768932628534,0.021825794803356002
IRR 1.10 per 10%,300,1.0,1.0,1.1005287491250209,0.0,0.015808768932628534,0.021825794803356002
"IRR 1.05 per 10%, acting via concurrent year",300,0.6066666666666667,0.6066666666666667,1.0370447344267095,0.028202968060248683,0.015808768932628534,0.021825794803356002
"IRR 1.10 per 10%, acting via concurrent year",300,0.9966666666666667,0.9966666666666667,1.0798615674378087,0.0033277731404159692,0.015808768932628534,0.021825794803356002
