scenario,seed,log_irr_10pct,p,rejected_two_sided,detected_correct_direction
No effect,0,0.0019049748506938995,0.8985598578185963,False,False
No effect,1,-0.022492615941605565,0.117473151218868,False,False
No effect,2,-0.004085275984670443,0.8404706044579395,False,False
No effect,3,-0.007821431347845817,0.6303648379049769,False,False
No effect,4,-0.02665581139114645,0.1176574335212225,False,False
No effect,5,-0.031410573872041485,0.034667145214147814,True,False
No effect,6,0.027282123438747027,0.0863458245943522,False,False
No effect,7,-0.012888813046435455,0.45972327166173865,False,False
No effect,8,0.008866342545138598,0.6207242728574003,False,False
No effect,9,0.003882616179172907,0.8084756356867875,False,False
No effect,10,0.03877252991865454,0.031441105522625315,True,True
No effect,11,-0.020397247140710843,0.23867352419841603,False,False
No effect,12,0.0052558361984588065,0.7490426437333759,False,False
No effect,13,0.005961176049841696,0.7307732469489892,False,False
No effect,14,-0.011379102231409142,0.4812681831326958,False,False
No effect,15,-0.015133275786156263,0.40843277509856235,False,False
No effect,16,0.021574765817680402,0.22286419238929545,False,False
No effect,17,0.008780442360773038,0.620861727708198,False,False
No effect,18,-0.02738505742588805,0.11987562804862464,False,False
No effect,19,-0.008373173337514566,0.5382871037029539,False,False
No effect,20,0.00496446277226906,0.8002586951532932,False,False
No effect,21,0.032698062123803225,0.009346064127283508,True,True
No effect,22,-0.00749105317848787,0.6029681147806433,False,False
No effect,23,-0.015029344152195956,0.3339758370012621,False,False
No effect,24,0.001005947067159531,0.9484912049445862,False,False
No effect,25,-0.016301394729588473,0.28211260040778074,False,False
No effect,26,0.009299392232511352,0.5765377365909091,False,False
No effect,27,0.009197459466719092,0.5728156264903652,False,False
No effect,28,-0.0005610556288732373,0.9766209687231023,False,False
No effect,29,-0.02948424360267075,0.03344393613050107,True,False
No effect,30,0.005539054767465254,0.695827097885864,False,False
No effect,31,0.005635385694893568,0.7541527525585546,False,False
No effect,32,-0.03515653555969011,0.012314576053177255,True,False
No effect,33,-0.008262648348401421,0.6558851306817397,False,False
No effect,34,-0.0060601938457461105,0.6743761656579119,False,False
No effect,35,0.014910103768173264,0.4170376101794352,False,False
No effect,36,0.029084475489713508,0.04780724759190295,True,True
No effect,37,-0.006979687750445906,0.6365048769334637,False,False
No effect,38,0.01649891035505255,0.3669531315954838,False,False
No effect,39,0.020339006183861905,0.16714935041406598,False,False
No effect,40,-0.004861149287783854,0.7480845455986513,False,False
No effect,41,0.031095780182795806,0.04847083548180256,True,True
No effect,42,0.024728975366850158,0.05549654676442821,False,False
No effect,43,0.015093304535390383,0.3321680350175963,False,False
No effect,44,0.006207368134518102,0.6933874112676301,False,False
No effect,45,-0.03442926693684385,0.007292651984161244,True,False
No effect,46,-0.01135890673054174,0.4512947167791699,False,False
No effect,47,0.0039315848729646885,0.8312360945953987,False,False
No effect,48,0.013037617899088428,0.37082977563954267,False,False
No effect,49,-0.002500084167796042,0.8568537396491991,False,False
No effect,51,0.014847685626957891,0.3408338302834433,False,False
No effect,50,0.013934073130101034,0.3704528469573002,False,False
No effect,52,0.017375557905268332,0.33276947267471635,False,False
No effect,53,0.008190000607171635,0.6634031538126075,False,False
No effect,54,0.009986713713949973,0.5070874494447304,False,False
No effect,55,-0.0012759021876983339,0.934145806257054,False,False
No effect,56,0.041574902190991116,0.0068073304064671675,True,True
No effect,57,0.00667792907990212,0.6501846594683218,False,False
No effect,58,-0.007473188528800856,0.6670841401771712,False,False
No effect,59,0.016537722099655844,0.2814670435643435,False,False
No effect,60,-0.011878109151009184,0.46962800862841214,False,False
No effect,61,-0.04344656217581481,0.0009596016101559347,True,False
No effect,62,6.044282857684639e-05,0.9970858613294878,False,False
No effect,63,-0.004391136367433704,0.7999419944064539,False,False
No effect,64,0.009210852078955813,0.6068835581162576,False,False
No effect,65,-0.024137560600160844,0.13465606148900677,False,False
No effect,66,-0.014379769094134845,0.3880817013236365,False,False
No effect,67,-0.0013559912044422899,0.9273500035156221,False,False
No effect,68,0.004839492475935576,0.7754958024008225,False,False
No effect,69,-0.010136065979023466,0.46703636706680296,False,False
No effect,70,0.009983827823112757,0.5358189046959256,False,False
No effect,71,0.003625272313739089,0.8069392424046893,False,False
No effect,72,-0.0039122790342950966,0.8105846195275371,False,False
No effect,73,0.006197351389119359,0.7208907344329964,False,False
No effect,74,0.003032889946163855,0.86440936553384,False,False
No effect,75,0.004795706895515422,0.7381815213217238,False,False
No effect,76,-0.028769676184927744,0.046764655777370254,True,False
No effect,77,0.017325720639149465,0.3495129643914462,False,False
No effect,78,-0.007671521015788837,0.5762661119642729,False,False
No effect,79,-0.002222288083124057,0.9033199966598976,False,False
No effect,80,0.002627231401267433,0.8650519077726996,False,False
No effect,81,0.003609967395950134,0.8271079726643719,False,False
No effect,82,-0.00041055479953303764,0.9823759685828263,False,False
No effect,83,0.00360123647385135,0.823725882688724,False,False
No effect,84,0.007360737518093918,0.6775631687768635,False,False
No effect,85,-0.02508959588962647,0.13075642943271787,False,False
No effect,86,-0.0017969168412369885,0.9117044180115302,False,False
No effect,87,0.004796970283357527,0.7731030519995606,False,False
No effect,88,0.008706965005615328,0.5430218038535839,False,False
No effect,89,-0.01467418530378561,0.4333916853595303,False,False
No effect,90,0.006364862278317065,0.7346742501254284,False,False
No effect,91,-0.019716848453771394,0.17255045080614573,False,False
No effect,92,-0.018338648768385965,0.17403808288351486,False,False
No effect,93,-0.010326200866839183,0.5269061748644243,False,False
No effect,94,0.00910763364827765,0.5659368377409968,False,False
No effect,95,0.005493558151789843,0.7521086083260949,False,False
