scenario,n,power_or_type1,median_irr_10pct,irr_2_5,irr_97_5,true_irr_10pct_direct
No effect (RR 1),200,0.045,0.999326148970969,0.9653971910966361,1.0318194950578012,
Published RR 4.9,200,0.03,1.0021335418276185,0.9689046102572253,1.0354610913431,
RR 25,200,0.11,1.0167283583795221,0.9839010820058842,1.0537905639388525,
RR 100,200,0.565,1.0423758169802682,1.0087006574079218,1.0776926152681836,
IRR 1.02 per 10%,200,0.17,1.0200968422305257,0.981898003272218,1.0561465727034969,1.02
IRR 1.05 per 10%,200,0.745,1.0521492005259616,1.0135340624998896,1.088563496301125,1.05
IRR 1.10 per 10%,200,1.0,1.1004300512887455,1.055881913235498,1.140135010985197,1.1
