scenario,seed,irr_10pct,p,detected
No effect (RR 1),0,0.9930443298578483,0.6967287672278943,False
No effect (RR 1),1,1.000522340913787,0.9768737431739181,False
No effect (RR 1),2,1.0212147905789757,0.35112776957700553,False
No effect (RR 1),3,1.0045085003835865,0.8284319629244663,False
No effect (RR 1),4,1.0074641200792385,0.6561809296495097,False
No effect (RR 1),5,0.9830698214407076,0.33900793751391367,False
No effect (RR 1),6,1.004378649604386,0.8000858194837925,False
No effect (RR 1),7,0.9843434786699172,0.33129906847743884,False
No effect (RR 1),8,1.002560820934347,0.8702781023785,False
No effect (RR 1),9,0.997272476147207,0.8849785926226819,False
No effect (RR 1),10,1.0215336699504316,0.22888986265914635,False
No effect (RR 1),11,0.9814364614560894,0.3411777014817383,False
No effect (RR 1),12,0.9963702001042736,0.8577132303453927,False
No effect (RR 1),13,1.0173242941588032,0.29592582622379504,False
No effect (RR 1),14,1.010296524894869,0.5403784315625924,False
No effect (RR 1),15,1.0183580942670023,0.33813348669563215,False
No effect (RR 1),16,0.9886820916994915,0.4932111768741657,False
No effect (RR 1),17,0.9816333294319082,0.2577543025139648,False
No effect (RR 1),18,0.9981075637009607,0.9259678828140524,False
No effect (RR 1),19,0.9754279767147843,0.18535409259395363,False
No effect (RR 1),20,1.008888186990407,0.6058487874551661,False
No effect (RR 1),21,1.0048423505781714,0.7287714422937104,False
No effect (RR 1),22,0.9718224853243688,0.17120077700620107,False
No effect (RR 1),23,1.0025955438418137,0.9153965697256589,False
No effect (RR 1),24,0.9876167662560991,0.4704546208189695,False
No effect (RR 1),25,1.0164741131302844,0.3353175909900473,False
No effect (RR 1),26,1.0183162925870615,0.316909623518855,False
No effect (RR 1),27,0.9765926631447989,0.12220111247708035,False
No effect (RR 1),28,0.9999998784920475,0.9999950574782179,False
No effect (RR 1),29,0.9977325817631576,0.9083849134698948,False
No effect (RR 1),30,1.022080234231963,0.16634944761352366,False
No effect (RR 1),31,0.9824741789665516,0.33105495052382505,False
No effect (RR 1),32,0.9838952770433647,0.32688844313348775,False
No effect (RR 1),33,0.9967520434343534,0.8395725915705057,False
No effect (RR 1),34,0.9964605337185575,0.8563005450466669,False
No effect (RR 1),35,1.0079497113784903,0.6749508846854126,False
No effect (RR 1),36,0.9857536103687401,0.40276140986936393,False
No effect (RR 1),37,0.9947260774357297,0.7470008755522224,False
No effect (RR 1),38,1.0018356958696213,0.9113876773297579,False
No effect (RR 1),39,0.9916513425042176,0.6494020624120409,False
No effect (RR 1),40,0.9781803779590744,0.25385877807675306,False
No effect (RR 1),41,0.9850963115204552,0.4980246228547004,False
No effect (RR 1),42,1.0025460841046425,0.8936563347859797,False
No effect (RR 1),43,0.9562511113842798,0.031448739481867986,True
No effect (RR 1),44,0.9870043963026294,0.3892593403270217,False
No effect (RR 1),45,1.007822959945481,0.6539744661825894,False
No effect (RR 1),46,0.9938743410075734,0.7551684758397624,False
No effect (RR 1),47,1.0131544602671152,0.42675285537802365,False
No effect (RR 1),48,0.9714876615929318,0.13024798359846115,False
No effect (RR 1),49,1.0016457196884305,0.9359137257976474,False
No effect (RR 1),50,1.0083077789815056,0.6846929219836051,False
No effect (RR 1),51,0.9713089401781542,0.05752255714780531,False
No effect (RR 1),52,1.010098182337844,0.5781323358506101,False
No effect (RR 1),53,1.0193743903019572,0.20077468869841042,False
No effect (RR 1),54,0.9492726083821559,0.0011061343584509852,True
No effect (RR 1),55,1.0124256730250032,0.5984474000530327,False
No effect (RR 1),56,1.0158300109431475,0.4488407459018873,False
No effect (RR 1),57,1.0189620863771127,0.33126011390356935,False
No effect (RR 1),58,1.0240986183352003,0.13230356777264024,False
No effect (RR 1),59,0.9890987274419184,0.519170355571035,False
No effect (RR 1),60,1.0190831294799823,0.4003909130995874,False
No effect (RR 1),61,1.0145891870899284,0.43652485901519167,False
No effect (RR 1),62,1.0081167345869835,0.6573501190558171,False
No effect (RR 1),63,0.9654114515115348,0.09188474545544921,False
No effect (RR 1),64,0.9602235743947874,0.027057972877989743,True
No effect (RR 1),65,1.0030748110568186,0.8721311458999758,False
No effect (RR 1),66,1.0089069578481866,0.6145470664987684,False
No effect (RR 1),67,0.9866908979816987,0.42492425662687006,False
No effect (RR 1),68,0.9934611847717565,0.7033723312172417,False
No effect (RR 1),69,1.0315431042725467,0.047649189537364245,True
No effect (RR 1),70,1.0178145076329304,0.2525153406969852,False
