substance,items,mg,month,mg_share_pct,items_share_pct
Deflazacort,314,126178.26000000004,201501,0.08375726416723599,0.04417806291856604
Dexamethasone,18280,8405696.080999998,201501,5.579710063887526,2.5718948730935898
Prednisone,146,23059.0,201501,0.015306588903922861,0.020541392312454273
Methylprednisolone,554,1232332.5,201501,0.8180236337414251,0.07794473521301143
Prednisolone,691466,140860276.5,201501,93.50320244929989,97.28544093646238
Prednisolone,544806,108259518.5,201907,92.43328635696354,96.64290237719763
Methylprednisolone,435,849887.5,201907,0.7256442273822218,0.07716446319255106
Deflazacort,405,172965.36,201907,0.14767991648434392,0.0718427760758234
Dexamethasone,18070,7836952.517999996,201907,6.6912848523543,3.2054295399756265
Prednisone,15,2465.0,201907,0.0021046468156046263,0.0026608435583638295
Deflazacort,451,224304.1799999999,202407,0.21403584562831696,0.08347106367305994
Prednisolone,521358,97410833.5,202407,92.95150059856975,96.4929197659849
Methylprednisolone,284,345305.0,202407,0.32949741585148357,0.05256270971873398
Dexamethasone,18214,6817040.817,202407,6.504966139950438,3.371046460623312
