level,quantity,years,median_i,min_i,max_i,years_p_below_005
ltla,Pearson residual (primary model),11,0.02632937291695647,-0.004232288850599123,0.16305599905711582,2
ltla,log TB rate (raw),11,0.34516414668425294,0.2511631784821515,0.3938598513335379,11
utla,Pearson residual (primary model),11,0.00881510472587749,-0.0329981557397547,0.20946882189619648,1
utla,log TB rate (raw),11,0.4322115154109747,0.3957152953871002,0.4895202925760124,11
