drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
vitamin_d,exclude COVID years (t-1),exposure_lag1,1.0192127200128605,0.9961878036506967,1.0427698119061255,1.0389474541866404,0.011658146651726016,0.10260016911166817,1207,151,2014-2024,,38.94745418664033
levothyroxine,primary (t-1),exposure_lag1,0.9613864932063675,0.9298331276009882,0.9940106045740487,0.9886937421064896,0.01702620862882792,0.020731837113503883,1660,151,2014-2024,,0.0
levothyroxine,FE only (t-1),exposure_lag1,0.945219475265555,0.9154655191942618,0.975940478028756,0.9709366663475177,0.016318596653434297,0.0005556478160132121,1661,151,2014-2024,,0.0
levothyroxine,"distributed lag (t, t-1, t-2)",exposure,0.9515324853550753,0.8779112120599113,1.0313276083598057,1.0180661067803412,0.04108590002639466,0.22658245303661317,1660,151,2014-2024,,18.066106780341137
levothyroxine,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0642580364567877,0.9683451445418376,1.1696709324636068,1.152051034483055,0.048186009163984404,0.19620228854348953,1660,151,2014-2024,,
levothyroxine,"distributed lag (t, t-1, t-2)",exposure_lag2,0.9428251911358938,0.8725016153076565,1.0188168427940263,1.0062031660085191,0.0395491759007315,0.1365828348899208,1660,151,2014-2024,,6.203166008519107
levothyroxine,"lag and lead (t-1, t+1)",exposure_lag1,1.0079078030681923,0.9487271536979817,1.0707800820562845,1.0604172816019515,0.030872822062154574,0.7986197630001559,1509,151,2014-2023,,60.41728160195142
levothyroxine,"lag and lead (t-1, t+1)",exposure_lag-1,0.9446014057710194,0.8837815515482677,1.0096067452657782,0.9988654996401478,0.033955677149166384,0.09326315005457009,1509,151,2014-2023,,0.0
levothyroxine,prior 3 years (t-3..t-1),exposure_prior3,0.9602545781032115,0.9271993384524828,0.9944882578401796,0.9889052199386548,0.01787237566064489,0.023253277940775117,1660,151,2014-2024,,0.0
levothyroxine,+ area trends (t-1),exposure_lag1,0.998311150642116,0.9424919806761523,1.057436215830078,1.0477030549641064,0.02935591387292672,0.9540841699607766,1660,151,2014-2024,,47.70305496410639
levothyroxine,population covariate (t-1),exposure_lag1,0.9593613879400384,0.9267250102516732,0.9931471175254981,0.9876380960365232,0.017658655852356955,0.0188031487994781,1660,151,2014-2024,,0.0
levothyroxine,+ LTBI programme (t-1),exposure_lag1,0.9647535407269228,0.9305666981845047,1.0001963278516048,0.9944135736363287,0.01840761074239042,0.05125537573814965,1660,151,2014-2024,,0.0
levothyroxine,+ asylum support (t-1),exposure_lag1,0.9685792363485691,0.9342215117585237,1.0042005298290198,0.998388559423967,0.018426897061240993,0.08318084250121727,1394,150,2015-2024,,0.0
levothyroxine,exclude COVID years (t-1),exposure_lag1,0.9597198099727483,0.9236942445736467,0.9971504305293862,0.9910377938406751,0.01952054311716486,0.03518816715990999,1207,151,2014-2024,,0.0
