outcome,exposure,lag,n_obs,years,irr_lag_10pct,irr_lead_10pct,ratio_lag_to_lead,p_difference_t8,p_randomisation_lag
"TB, UK born",rate_oral_glucocorticoids,2,90,2013-2022,1.219314045780542,0.9418103025874145,1.2946492966054286,0.2394645240164841,0.324
"TB, UK born",rate_mg_pred_equivalent,2,90,2013-2022,1.409921405836448,0.8498419639549798,1.6590395222130243,0.03674579160450265,0.04
"TB, UK born",rate_levothyroxine,2,90,2013-2022,0.8179902867268678,0.9957418563856332,0.8214883018938541,0.5637643870341298,0.408
"TB, Non-UK born",rate_oral_glucocorticoids,2,90,2013-2022,0.9407741162589305,1.4001646144619997,0.6719025081350269,0.11075561060079063,0.742
"TB, Non-UK born",rate_mg_pred_equivalent,2,90,2013-2022,1.086181479958804,1.2691098864174686,0.8558608608943647,0.49792344841299635,0.628
"TB, Non-UK born",rate_levothyroxine,2,90,2013-2022,0.8665048636465241,1.0740734775321388,0.8067463556007939,0.5574386274472537,0.466
"TB, UK born aged 65+",rate_oral_glucocorticoids,2,90,2013-2022,0.8146281867604963,1.783931827822227,0.45664759945169603,0.07907477744229427,0.372
"TB, UK born aged 65+",rate_mg_pred_equivalent,2,90,2013-2022,1.0075916737371788,1.5326253700147405,0.6574285493704753,0.30200224104291534,0.968
"TB, UK born aged 65+",rate_levothyroxine,2,90,2013-2022,0.9249659150618508,1.1407907846187764,0.8108111737341489,0.5459398273443029,0.79
