date,items_ocs,items_other,items_prednisolone,items_dexamethasone,items_hydrocortisone,mg_prednisolone_tablets,items_prednisolone_tablets
2014-01-01,1257.075574634756,8.151506339331943,1156.9271830095388,36.12632841091111,55.870556874974376,238147.71989842472,1156.7064743541416
2014-02-01,1088.3695569268225,7.673304252638282,997.9875233029256,32.38163822434075,50.327091146917866,204736.74800399828,997.7741716027085
2014-03-01,1147.933305302108,8.230593607515894,1051.608691131645,34.08661258728315,54.00740797566407,215633.53067691217,1051.3898217150427
2014-04-01,1149.3348052638794,8.254503711850578,1052.4804903204633,34.185931482211835,54.41387974935369,216363.5263938768,1052.2855310081957
2014-05-01,1155.1100150801028,8.813632305523166,1054.915642485011,34.81311191129851,56.56762837827013,216980.30960605547,1054.6544705761244
2014-06-01,1097.5491977525458,8.40899977062853,1001.1344608811289,33.34723859170295,54.65849850908544,205487.97865247028,1000.9211091809118
2014-07-01,1132.923277496312,8.927665110811654,1029.4826484280882,35.793426189020515,58.71953776839162,212671.9175585488,1029.2453866235362
2014-08-01,1015.9017091659882,7.998849519348967,918.5066580168492,33.40057651675724,55.995625113032716,191349.68934061247,918.2767531674773
2014-09-01,1139.789155917956,8.45498074050292,1038.167534017963,35.134978700419246,58.03166245907073,212191.7658787325,1037.9505038401558
2014-10-01,1254.362697412167,8.71983112697941,1147.9480192124677,37.55357771581219,60.14126935690776,233292.76769555095,1147.696043497556
2014-11-01,1176.3992041319457,8.017241907298724,1079.8649167388553,34.29996428750032,54.217081198291304,216713.6622832763,1079.6405296058683
2014-12-01,1536.4541083527577,8.850417081422679,1426.6129282780187,39.13164460190127,61.85911839141499,286175.66047386994,1426.3002576828728
2015-01-01,1361.4687572456594,8.016978917717335,1261.1543471694154,34.421557638064456,57.87587352046235,256867.43919885968,1260.8496508837395
2015-02-01,1147.831047770612,7.569969396815935,1055.4423901792484,31.839849588776783,52.978838605771095,214489.0600896836,1055.205201453872
2015-03-01,1233.633156911143,8.63002054638211,1131.6018653689061,35.05466908195338,58.34660191390137,230167.5440946612,1131.3245370130817
2015-04-01,1148.119323298377,8.460339381305252,1049.645862636784,33.306770628796066,56.706350651491746,216468.01685193053,1049.3813059815566
2015-05-01,1085.196803513371,8.338095961303644,987.4002429834284,32.991127171179976,56.467337397458756,203121.32517121927,986.5481881007306
2015-06-01,1114.7651149245057,9.000399863700412,1012.6115799622673,34.48906519836385,58.66406990017419,208346.51798558314,1011.3252872592652
2015-07-01,1127.7283910306462,9.286850862808654,1019.971728563558,36.99414304406842,61.47566856021116,209475.0756248883,1018.3916867468209
