outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p,leave_one_region_out_range,analysis
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,-3,90,2012-2021,1.0915687078086584,0.9149002391438835,1.302352095767326,0.28555924831935253,1.042-1.448,lead (falsification)
"TB, Non-UK born",rate_proton_pump_inhibitors,FE only,1,90,2015-2024,1.0675311024212555,0.924844068792452,1.2322322141555393,0.3242744020172483,0.991-1.146,lagged exposure
"TB, Non-UK born",rate_proton_pump_inhibitors,FE + migration + age,1,90,2015-2024,1.1041438446285785,0.9500952477684661,1.2831699058537716,0.16690648916141831,1.056-1.163,lagged exposure
"TB, Non-UK born",rate_proton_pump_inhibitors,FE only,2,81,2016-2024,1.1110855375974076,0.9598886846254823,1.286098160788078,0.1353677780558407,1.031-1.138,lagged exposure
"TB, Non-UK born",rate_proton_pump_inhibitors,FE + migration + age,2,81,2016-2024,1.1113043179132924,0.9700264414268448,1.2731583741120795,0.11126077603072838,1.072-1.148,lagged exposure
"TB, Non-UK born",rate_proton_pump_inhibitors,FE only,3,72,2017-2024,1.0773988308138307,0.9319216254208816,1.245585689799574,0.2699709178123289,1.006-1.110,lagged exposure
"TB, Non-UK born",rate_proton_pump_inhibitors,FE + migration + age,3,72,2017-2024,1.0165602451267195,0.8691240152196009,1.1890072232223259,0.8150819415961668,0.922-1.062,lagged exposure
"TB, Non-UK born",rate_proton_pump_inhibitors,FE only,1,72,2015-2024,1.0751399383399984,0.9267691831167836,1.247264052443224,0.29318614649485564,0.996-1.143,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_proton_pump_inhibitors,FE + migration + age,1,72,2015-2024,1.1018056774085148,0.9491473643589688,1.2790171435491748,0.17224896887115973,1.047-1.164,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_proton_pump_inhibitors,FE only,2,63,2016-2024,1.1131253078442984,0.9607214322396322,1.2897057454781635,0.13177778746706878,1.033-1.142,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_proton_pump_inhibitors,FE + migration + age,2,63,2016-2024,1.1174703294283574,0.9663886247566581,1.2921716017375116,0.1158740114258582,1.070-1.149,"lagged, excluding 2020-21"
